author_first,title,mag_name,paper_num
万喆,“求同存异”切实破解“一带一路”上的“印度困局”;“一带一路”建设和国家金融安全的共赢;中国智库建设亟须对接时代发展和国家战略;,金融论坛;金融论坛;金融论坛;,3
万威武,主权债重组理论和博奕分析;,南开经济研究;,1
万定山,中国城市居民收入分布的变化:1988—1999年;,经济学(季刊);,1
万幼清,产业集群协同创新的风险传导路径研究;,管理世界;,1
万广华,城镇化与不均等:分析方法和中国案例;中国沿海与内地贫困差异之解析:基于回归的分解方法;中国和印度的贸易扩张:威胁还是机遇?;收入增长与不平等对我国贫困的影响;解释中国农村区域间的收入不平等:一种基于回归方程的分解方法;转型经济中农户储蓄行为:中国农村的实证研究;司法制度、工资激励与反腐败:中国案例;不平等的度量与分解;贫困按要素分解:方法与例证;,经济研究;经济研究;经济研究;经济研究;经济研究;经济研究;经济学(季刊);经济学(季刊);经济学(季刊);,9
万建华,2000-2001:商业银行改革发展的回顾与展望;,金融研究;,1
万建香,社会资本与技术创新能否打破“资源诅咒”?——基于面板门槛效应的研究;,经济研究;,1
万志宏,中央银行沟通:理论、策略与效果;国际绿色债券市场:现状、经验与启示;从宏观经济对称性看东亚地区汇率合作的基础;,金融评论;金融论坛;南开经济研究;,3
万晓莉,中国货币需求长期是否稳定?;房价变化、房屋资产与中国居民消费——基于总体和调研数据的证据;我国货币政策能减小宏观经济波动吗?  基于货币政策反应函数的分析;,经济研究;经济学(季刊);经济学(季刊);,3
万海远,中国农村财政与村庄收入分配;户籍歧视对城乡收入差距的影响;,管理世界;经济研究;,2
万璐,金融发展影响中国企业出口二元边际的实证研究;,南开经济研究;,1
万相昱,公司价值、风险与CEO性别——基于A股上市公司的数据;,金融评论;,1
万芊,现代日本商业银行竞争力发展变迁历程及启示;地区金融环境与中小企业融资行为——基于苏州、无锡中小企业调查问卷的研究;,金融论坛;金融论坛;,2
万解秋,汇率调整对中国就业的影响——基于理论与经验的研究;货币供给的内生性与货币政策的效率——兼评我国当前货币政策的有效性;,经济研究;经济研究;,2
万辉,商业银行内部控制的演进及我行内控建设新举措;,金融论坛;,1
万阿俊,房地产价格变化对利率波动的溢出效应;,金融论坛;,1
万静芳,论我国商业银行外部审计制度和模式的创新;论我国商业银行内部审计制度和模式的创新;,金融论坛;金融论坛;,2
上海市城市金融学会课题组,国有商业银行实施战略转型的动因、路径和策略研究;,金融论坛;,1
丘东晓,自由贸易协定理论与实证研究综述;,经济研究;,1
丘心颖,分析师能有效发挥专业解读信息的作用吗?——基于汉字年报复杂性指标的研究;,经济学(季刊);,1
丛林,金融租赁的风险控制体系研究;,金融论坛;,1
丛海彬,新型城镇化中的产城融合及其福利效应;,中国工业经济;,1
丛菲菲,中国金融改革开放的理论与实践高峰论坛(2016)暨全国博士后学术论坛综述;,经济研究;,1
东艳,深度一体化、外国直接投资与发展中国家的自由贸易区战略;南南型区域经济一体化能否促进FDI流入?——中国-东盟自由贸易区引资效应分析;,经济学(季刊);南开经济研究;,2
严伟祥,我国金融市场尾部风险相依与区制转移下的风险冲击研究;,金融评论;,1
严佳佳,香港人民币离岸市场利率与汇率的联动效应;,金融论坛;,1
严兵,中国企业对外直接投资的生产率效应——基于江苏省企业数据的检验;企业异质性与对外直接投资——基于江苏省企业的检验;,南开经济研究;南开经济研究;,2
严成樑,延迟退休、内生出生率与经济增长;创新驱动、税收扭曲与长期经济增长;社会资本、创新与长期经济增长;财政支出、税收与长期经济增长;知识生产、创新与研发投资回报;熊彼特增长理论:一个文献综述;R&D规模、R&D结构与经济增长;垄断企业的拆分可以改善社会福利吗?——基于一个熊彼特增长框架的分析;政府财政政策对经济增长的影响——基于一个资本积累与创新相互作用模型的分析;,经济研究;经济研究;经济研究;经济研究;经济学(季刊);经济学(季刊);南开经济研究;南开经济研究;南开经济研究;,9
严文兵,我国票据市场发展的新制度经济学分析;,金融研究;,1
严斌剑,中国农村人均家庭收入流动性研究:1986—2010年;,经济学(季刊);,1
严武,产权保护和市场信息不对称:来自中国A-B股的证据;,经济研究;,1
严法善,坚持和发展马克思的劳动价值理论;,世界经济文汇;,1
严盖,商业银行服务管理问题与对策研究;商业银行服务管理问题与对策研究;商业银行业务创新的实践及加快创新步伐的建议;,金融论坛;金融论坛;金融论坛;,3
中国人民银行上饶市中心支行课题组,有效供给与机制设计:农业信贷投入研究;,金融研究;,1
中国人民银行东营市中心支行课题组,我国金融超前监管的实践性研究;,金融研究;,1
中国人民银行临沂市中心支行课题组,临沂思路:农村信用社的外部监督与体制内改革;,金融研究;,1
中国人民银行代表团,论合作金融的混合治理结构——从法国农业信贷银行的制度变迁看中国农村信用社体制改革;,金融研究;,1
中国人民银行厦门市中心支行课题组,两岸金融交往的障碍与对策分析;,金融研究;,1
中国人民银行大庆市中心支行课题组,产业风险、金融系统性风险与国家风险及其管理:大庆个案分析;,金融研究;,1
中国人民银行天水市中心支行课题组,欠发达地区国有商业银行不良贷款化解难问题研究;,金融研究;,1
中国人民银行广州分行“东南亚及港澳金融问题”研究小组,粤港澳三地货币跨境流通问题研究;,金融研究;,1
中国人民银行广州分行课题组,从民间借贷到民营金融:产业组织与交易规则;,金融研究;,1
中国人民银行怀化市中心支行课题组,农村合作金融所有权—经营权制度研究:经理人员的选择权与激励问题;,金融研究;,1
中国人民银行抚州市中心支行课题组,非正式制度安排、技术约束下的农村信用合作社发展问题:抚州个案研究与一般政策结论;,金融研究;,1
中国人民银行新乡市中心支行课题组,制度缺陷与功能缺失:粮食主产区农发行运行现状案例分析;,金融研究;,1
中国人民银行朔州市中心支行课题组,监管约束及其创新:金融监管绩效的实证分析;信用制度与信贷制度的恶性循环:对国有商业银行新增不良贷款研究;,金融研究;金融研究;,2
中国人民银行武汉分行“货币政策传导机制问题”课题组,内生制度约束与宏观政策限制:欠发达地区货币政策传导机制梗阻的案例研究;,金融研究;,1
中国人民银行济南分行《济南金融》编辑部课题组,金融资源配置与县域经济发展的实证研究;,金融研究;,1
中国人民银行湘西自治州中心支行课题组,效率与环境:西部地区发展民间投资的问题与路径选择——湘西个案分析;,金融研究;,1
中国人民银行潍坊市中心支行课题组,银行的资产管理公司化:抵债资产膨胀与处置问题研究;市场化进程中的竞争和外部性选择问题:对“安丘现象”的思考;控制权改革:企业改制与外部环境的动态研究——“诸城模式”研究;,金融研究;金融研究;金融研究;,3
中国人民银行盘锦市中心支行课题组,锁定效应与反锁定安排:资源型经济发展中的产业选择和金融支持;,金融研究;,1
中国人民银行福州中心支行课题组,狭义银行制度:县域信贷存差与经济发展相关性研究;,金融研究;,1
中国人民银行营业管理部课题组,预算软约束、融资溢价与杠杆率——供给侧结构性改革的微观机理与经济效应研究;预算软约束、融资溢价与杠杆率——供给侧结构性改革的微观机理与经济效应研究;,经济研究;经济研究;,2
中国人民银行货币政策分析小组,2001年一季度货币政策执行报告;低物价水平下的货币信贷运行的结构变化——2001年二季度货币政策执行报告;,金融研究;金融研究;,2
中国人民银行赣州市中心支行课题组,微观金融制度瓶颈及其创新:非公有制经济融资渠道问题研究;,金融研究;,1
中国人民银行达州市中心支行课题组,我国西部县域金融制度变迁研究——从四川达州案例看西部县域金融资源的优化配置和机制再造;我国西部县域金融制度变迁研究——从四川达州案例看西部县域金融资源的优化配置和机制再造;,金融论坛;金融论坛;,2
中国人民银行长春中心支行课题组,金融城镇偏向对城镇化的影响——基于城乡二元框架的分析;,金融论坛;,1
中国人民银行黄石市中心支行课题组,当前我国市场货币吸纳能力研究;,金融研究;,1
中国人民银行黑河市中心支行课题组,论转轨经济中改革成本安排和政府基本职能:俄国阿州社会保障制度及对我国的启示;,金融研究;,1
中国企业家调查系统,新常态下的企业创新:现状、问题与对策——2015·中国企业家成长与发展专题调查报告;企业经营者对宏观形势及企业经营状况的判断、问题和建议——2015·中国企业经营者问卷跟踪调查报告;,管理世界;管理世界;,2
中国国债协会《国债市场化》课题组,国债的流通性与增发空间;,经济研究;,1
中国城市金融学会专题课题组,工商银行贷款退出与贷款进入的策略探讨;,金融论坛;,1
"中国工商银行""人民币国际化""课题组",人民币国际化发展与中资商业银行战略机遇;人民币国际化发展与中资商业银行战略机遇;,金融论坛;金融论坛;,2
"中国工商银行""外汇储备管理改革""课题组",中国外汇储备管理问题与改革建议;,金融论坛;,1
中国工商银行三峡分行课题组,我国商业银行实施精细化管理的理论思考;商业银行贷款退出与贷款进入的策略研究;商业银行贷款退出与贷款进入的策略研究;,金融论坛;金融论坛;金融论坛;,3
中国工商银行上海分行课题组,跨市场融合性人民币产品创新研究;,金融论坛;,1
中国工商银行上海市分行管理信息部课题组,房地产金融风险影响宏观经济安全的相关研究——兼论我国房地产金融潜在风险及政策建议;国内金融市场完全开放对国有商业银行的影响;关于国内商业银行产品创新及营销的思考;,金融论坛;金融论坛;金融论坛;,3
中国工商银行上海市分行课题组,基于分销理论的银行核心竞争力研究;混业经营制度下国有商业银行产品创新战略研究;商业银行实施集团客户整体营销策略研究;关于国有商业银行信贷资产风险管理的战略思考;关于国有银行对中小企业信贷支持体系的研究;,金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;,5
中国工商银行上海市分行资金营运部课题组,企业年金管理模式研究;,金融论坛;,1
中国工商银行上海市分行银行卡部课题组,入世以来上海地区牡丹信用卡业务的发展;入世以来上海地区牡丹信用卡业务的发展;,金融论坛;金融论坛;,2
中国工商银行云南省分行课题组,我国国有商业银行的西部发展战略研究;,金融论坛;,1
中国工商银行产品创新管理部课题组,商业银行产品竞争力评估指标体系研究;,金融论坛;,1
中国工商银行人力资源部课题组,中国工商银行人力资源管理体制改革研究;,金融论坛;,1
中国工商银行企业年金中心课题组,建立我国基于风险控制的企业年金监管体系;,金融论坛;,1
中国工商银行内控合规部课题组,商业银行合规指数研究与应用;,金融论坛;,1
中国工商银行内部审计局课题组,关于商业银行IT审计问题的研究;,金融论坛;,1
中国工商银行北京分行电子银行部课题组,商业银行电子商务业务发展战略;,金融论坛;,1
中国工商银行北京市分行个人信贷管理部、个人金融业务部联合课题组,个人消费信贷市场发展与产品结构调整策略研究;,金融论坛;,1
中国工商银行厦门市分行课题组,业务流程再造与组织结构变革——中国工商银行厦门分行扁平化改革的探索与实践;,金融论坛;,1
中国工商银行吉林省分行课题组,WTO金融服务贸易规范与我国金融法制建设;,金融论坛;,1
中国工商银行四川省分行课题组,城镇化建设中工商银行面临的商机和经营对策;,金融论坛;,1
中国工商银行国际业务部课题组,跨国银行应对经济周期的战略研究;工商银行国际化发展研究;,金融论坛;金融论坛;,2
中国工商银行城市金融研究所课题组,后危机时代国际大型银行战略转型研究;“双倍增”计划、金融发展与商业银行机遇;国际商业银行盈利结构调整的路径考察及经验启示;中国经济发展趋势与商业银行的机遇和挑战;全球伊斯兰金融发展及其对中资银行国际化的启示;全球区域风险与中资银行国际化;国际银行盈利结构与管理架构考察及启示;亚洲新兴市场经济走势及其对中资银行国际化的启示;亚洲新兴市场经济走势及其对中资银行国际化的启示;金融危机对全球新兴市场的影响及未来展望;中国经济会步日本经济盛极而衰的后尘吗?;人民币区域化给中资商业银行带来的机遇与挑战;商业银行拓展地方政府融资平台业务的前景与策略;中国房地产业发展趋势和商业银行的长期策略;从全球银行排名看银行业的发展趋势;我国境内商业银行信贷利差变化及对策研究;全球金融危机深化  中国经济增长“保八”——2008～2009年宏观经济金融走势分析与展望;商业银行综合经营战略与路径研究;次贷危机拖累全球经济增长  国内结构性调控有望加强——2007年国际国内经济金融运行分析及2008年展望;金融危机背景下的美国经济周期研究;银行间市场基准利率体系选择及Shibor运行分析——兼析基准利率变动对商业银行的影响;欧元区银行业研究及工商银行发展策略探讨;国际前20家银行20年起伏原因、规律及启示;次贷危机拖累全球经济增长  国内结构性调控有望加强——2007年国际国内经济金融运行分析及2008年展望;国内信贷市场变化与贷款替代研究;2006年国际国内经济金融运行与2007年走势分析;我国体外循环资金的基本状况及其管理对策;2004年国内宏观形势分析与2005年形势及政策走向;2004年国际经济金融走势及其对我国经济金融的影响分析;2003年宏观形势分析与今年形势及政策走向预测;2004年上半年国际国内宏观经济金融走势分析;2003年上半年经济金融形势分析及下半年形势预测;银行信贷资金在社会资金配置中比例下降问题研究;2001年经济金融走势与工商银行的经营策略;,金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;,34
中国工商银行宁波分行课题组,结算与现金管理产品和服务创新研究——以中国工商银行宁波分行为例;商业银行提升核心竞争力研究——中国工商银行宁波市分行的经营实践;构建网络时代商业银行营业网点柜面服务新模式;,金融论坛;金融论坛;金融论坛;,3
中国工商银行宁波市分行课题组,商业银行拓展县域金融市场策略研究;企业“跨境发展”与银行服务创新;商业银行县域机构变革与发展研究;银行营业网点营销传播系统的建设;商业银行高净值客户的管理与维护;工商银行百强县支行竞争状况及策略研究——以工商银行宁波市分行余姚、慈溪支行为例;以创新带动传统信贷业务市场拓展;民营资本与经济增长——宁波市体外循环资金的基本状况及管理对策;新形势下商业银行拓展对公存款的经营策略——对工商银行宁波市分行开展对公存款业务的若干思考;新形势下商业银行拓展对公存款的经营策略——对工商银行宁波市分行开展对公存款业务的若干思考;,金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;,10
中国工商银行山东省分行营业部课题组,透明度建设中的激励问题:对银企面对面对帐业务现状的调查;,金融研究;,1
中国工商银行山东省分行课题组,工商银行山东分行的区域发展机遇与发展战略选择;加入WTO与我国商业银行法律体系的建设;,金融论坛;金融论坛;,2
中国工商银行广东省分行课题组,商业银行金融产品创新和整合的策略及建议;运用成本认定制优化银行资源配置;,金融论坛;金融论坛;,2
中国工商银行战略管理与投资者关系部资本市场课题组,股指期货推出对中国上市银行市值的影响分析;,金融论坛;,1
中国工商银行无为支行课题组,经济结构调整与县支行信贷结构转型——以线缆行业和工行无为支行为例;,金融论坛;,1
中国工商银行杭州金融研修学院课题组,我国商业银行票据市场的现状及发展战略研究;,金融论坛;,1
中国工商银行江苏分行课题组,江苏低碳经济发展与商业银行金融支持路径研究;,金融论坛;,1
中国工商银行江苏省分行课题组,汇率风险与商业银行外汇资产结构优化;商业银行网点利润增长的影响因素;互联网时代国有控股商业银行渠道转型研究;商业银行税务风险的内部控制机制研究;商业银行客户经理制度建设探讨;江苏低碳经济发展与商业银行金融支持路径研究;网上银行的法律风险管理探讨;经济周期对我国商业银行信贷经营的影响及对策;转型升级与金融支持——商业银行支持江苏开放型经济转型升级路径研究;国有(控股)商业银行品牌营销管理研究;经济周期性波动下商业银行支持中小企业发展研究;工商银行个人金融业务营销管理模式研究;工商银行信贷流程改造研究;工商银行信贷竞争力提升研究;信贷经营形势与中国工商银行信贷经营策略;区域经济发展与金融资源配置——江苏区域经济的特点与工商银行区域发展战略选择;国有控股商业银行合规文化建设研究;商业银行机制转型中员工激励问题研究;产业集群、区域经济与金融深化——金融支持中国戴南产业集群发展模式研究;银行信贷政策与产业结构调整——工商银行构建金融支持体系服务江苏产业结构调整的设想;国有商业银行助推金融生态环境建设策略研究;体外循环资金及对区域经济金融的影响——对南通、泰州两市民间融资情况的调查及我行的经营策略;当前我国商业银行面临的主要操作风险及对策研究;构建工商银行先进信贷风险文化研究;运用数据仓库创新工商银行营销模式和管理方法研究;实现区域经济和区域金融的互动双赢——促进江苏沿江县域经济发展的金融对策;宏观调控形势下国有商业银行的经营对策思考;按照市场原则构建民营企业的金融服务体系;通过资本市场处置不良资产的途径选择;建立以城市行为核心的经营绩效评价机制;,金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;,30
中国工商银行江西省分行课题组,商业银行业务运行风险集中监控模式分析;,金融论坛;,1
中国工商银行河北省分行课题组,商业银行省行营业部体制改革探讨;,金融论坛;,1
中国工商银行河南省分行营业部课题组,商业银行内控管理工作实现过程控制的研究;论商业银行内部控制有效性的实现;论商业银行内部控制有效性的实现;,金融论坛;金融论坛;金融论坛;,3
中国工商银行河南省分行课题组,商业银行二级分行“扁平化改革”后的内控管理;,金融论坛;,1
中国工商银行法律事务部课题组,从发卡银行看银行卡欺诈法律风险的防控;,金融论坛;,1
中国工商银行浙江分行办公室课题组,国有商业银行经营转型研究;,金融论坛;,1
中国工商银行浙江省分行管理信息部课题组,资本市场发展与银行经营转型——以浙江四大商业银行为例;,金融论坛;,1
中国工商银行浙江省分行营业部课题组,工商银行零售业务重新包装问题研究;,金融论坛;,1
中国工商银行浙江省分行课题组,建立有中国特色的现代商业银行信贷文化体系;工商银行开展投资银行业务的市场定位研究;,金融论坛;金融论坛;,2
中国工商银行浙江省台州市分行课题组,工商银行的客户定位和市场营销策略;,金融论坛;,1
中国工商银行深圳分行国际业务部课题组,国际结算和贸易融资风险的识别与控制;,金融论坛;,1
中国工商银行深圳分行课题组,商业银行产品定价研究;,金融论坛;,1
中国工商银行深圳喜年支行课题组,工商银行私人银行业务研究;,金融论坛;,1
中国工商银行渠道管理部课题组,互联网金融时代的跨行业渠道竞争;,金融论坛;,1
中国工商银行温州市分行课题组,商业银行业务创新的法律边界和突破口选择;,金融论坛;,1
中国工商银行湖北省分行课题组,武汉担当中部崛起“龙头”的金融对策研究;,金融论坛;,1
中国工商银行湖南省分行课题组,公司客户需求变化及商业银行应对策略;,金融论坛;,1
中国工商银行环境因素压力测试课题组,环境因素对商业银行信用风险的影响——基于中国工商银行的压力测试研究与应用;,金融论坛;,1
中国工商银行票据营业部课题组,宏观货币政策调整对票据市场利率的影响;商业银行票据池业务拓展研究;,金融论坛;金融论坛;,2
中国工商银行福建省分行计划财务部课题组,经济增加值在商业银行绩效考评中的应用研究;,金融论坛;,1
中国工商银行福建省分行课题组,以客户为中心构筑电子银行的经营管理体系;对我国当前储蓄存量规模的经济分析;对我国当前储蓄存量规模的经济分析;试论中国金融信用关联性问题及其制度解决方案;试论商业银行业务与资本市场业务的耦合;,金融论坛;金融论坛;金融论坛;金融论坛;金融论坛;,5
中国工商银行第三期领导干部研究班课题组,工商银行实施品牌战略提高核心竞争力研究;,金融论坛;,1
中国工商银行管理信息体系研究小组,构建符合现代金融企业制度要求的工商银行管理信息体系;,金融论坛;,1
中国工商银行绿色金融课题组,ESG绿色评级及绿色指数研究;商业银行构建绿色金融战略体系研究;,金融论坛;金融论坛;,2
中国工商银行苏州分行课题组,商业银行个人金融代理业务探析——工商银行苏州分行拓展个人金融代理业务的实践与思考;努力发挥消费对生产的促进作用——工商银行苏州分行拓展个人消费信贷业务的实践与思考;工商银行发展个人金融业务的策略研究;管理  服务  科技  创新——苏州分行保障ATM开机率的主体架构;,金融论坛;金融论坛;金融论坛;金融论坛;,4
中国工商银行董事会办公室公司治理课题组,全球金融危机中公司治理的经验与教训研究;,金融论坛;,1
中国工商银行董事会办公室课题组,大型银行授权管理与公司治理效率研究;巴塞尔新资本协议与商业银行公司治理;,金融论坛;金融论坛;,2
中国工商银行重庆九龙坡区支行课题组,商业银行客户经理的绩效评价模型研究;,金融论坛;,1
中国工商银行镇江市分行课题组,商业银行二级分行绩效考评机制探讨;,金融论坛;,1
中国工商银行长春金融研修学院课题组,工商银行品牌竞争策略研究;,金融论坛;,1
"中国社会科学院""国际金融危机与经济学理论反思""课题组",国家资本主义与“中国模式”;国际金融危机与马克思主义;国际金融危机与凯恩斯主义;国际金融危机与新自由主义的理论反思;西方国家应对金融危机的国有化措施分析;国际金融危机与国际贸易、国际金融秩序的发展方向;,经济研究;经济研究;经济研究;经济研究;经济研究;经济研究;,6
中国社会科学院经济体制改革30年研究课题组,论中国特色经济体制改革道路(上);论中国特色经济体制改革道路(下);,经济研究;经济研究;,2
中国社会科学院经济研究所宏观经济调控课题组,宏观调控目标的“十一五”分析与“十二五”展望;,经济研究;,1
中国社会科学院经济研究所社会保障课题组,多轨制社会养老保障体系的转型路径;,经济研究;,1
中国社会科学院经济研究所经济增长前沿课题组,开放中的经济增长与政策选择——当前经济增长态势分析;财政政策的供给效应与经济发展;,经济研究;经济研究;,2
中国社会科学院财贸经济所课题组,中国高新技术专利引进与创新的分析;,经济研究;,1
中国社会科学院金融研究所课题组,完善中国金融市场体系的改革方案研究;,金融评论;,1
中国经济增长与宏观稳定课题组,资本化扩张与赶超型经济的技术进步;后危机时代的中国宏观调控;全球失衡、金融危机与中国经济的复苏;城市化、产业效率与经济增长;中国可持续增长的机制:证据、理论和政策;劳动力供给效应与中国经济增长路径转换;外部冲击与中国的通货膨胀;金融发展与经济增长:从动员性扩张向市场配置的转变;干中学、低成本竞争和增长路径转变;增长失衡与政府责任——基于社会性支出角度的分析;,经济研究;经济研究;经济研究;经济研究;经济研究;经济研究;经济研究;经济研究;经济研究;经济研究;,10
中国经济增长前沿课题组,突破经济增长减速的新要素供给理论、体制与政策选择;中国经济增长的低效率冲击与减速治理;中国经济转型的结构性特征、风险与效率提升路径;中国经济长期增长路径、效率与潜在增长水平;城市化、财政扩张与经济增长;,经济研究;经济研究;经济研究;经济研究;经济研究;,5
