,title,mag_name,mag_classn,mag_city,mag_city_code,author_first,author_unit_first,unit_city,unit_city_code,coauthor,ym,class_num
44,大学的本质及其合约安排:一个现代企业理论的范式,管理世界,经济与管理,北京市,1100,郑文全,东北财经大学,大连市,2102.0,,2017-10-01,G
45,制度逃离还是创新驱动?——制度约束与民营企业的对外直接投资,管理世界,经济与管理,北京市,1100,李新春,中山大学,广州市,4401.0, 肖宵,2017-10-01,F;F
46,企业避税、债务融资与债务融资来源——基于所得税征管体制改革的断点回归分析,管理世界,经济与管理,北京市,1100,刘行,东北财经大学,大连市,2102.0, 赵健宇; 叶康涛,2017-10-01,F;F
47,海外子公司角色分类及其与管控方式的匹配效应——一项双层多案例定性比较分析,管理世界,经济与管理,北京市,1100,郝瑾,西藏民族大学,咸阳市,6104.0, 王凤彬; 王璁,2017-10-01,F
48,控股股东股权质押与审计师风险应对,管理世界,经济与管理,北京市,1100,翟胜宝,安徽财经大学,蚌埠市,3403.0, 许浩然; 刘耀淞; 唐玮,2017-10-01,F;F
49,新三板的发展瓶颈与对策研究,管理世界,经济与管理,北京市,1100,齐杏发,华东师范大学,上海市,3100.0,,2017-10-01,F
50,我国海上运输通道公共安全保障能力:结构与优化,管理世界,经济与管理,北京市,1100,马晓雪,大连海事大学,大连市,2102.0, 贾世娜; 韩依潼,2017-09-01,D;F
51,大数据与城市应急管理:态势、挑战与展望,管理世界,经济与管理,北京市,1100,吴志敏,温州大学,温州市,3303.0,,2017-09-01,D;F;F
52,婚姻匹配、代际流动与家庭模式的个税改革,管理世界,经济与管理,北京市,1100,刘怡,北京大学,北京市,1100.0, 李智慧; 耿志祥,2017-09-01,C;F
53,季度数据比较和混合动力模型测试,管理世界,经济与管理,北京市,1100,祝梓翔,西南交通大学,成都市,5101.0, 邓翔,2017-09-01,F;F
54,如何发挥区域产业集群和专业市场的作用——以义乌产业集群与专业市场联动升级为例,管理世界,经济与管理,北京市,1100,衣保中,吉林大学,长春市,2201.0, 王志辉; 李敏,2017-09-01,F;F
55,企业内部控制质量对上市公司经营绩效影响研究——基于制造业上市公司的实证研究,管理世界,经济与管理,北京市,1100,白默,天津商业大学,天津市,1200.0, 李海英,2017-09-01,F
56,中小股东投票权、公司决策与公司治理——来自一项自然试验的证据,管理世界,经济与管理,北京市,1100,孔东民,中南财经政法大学,武汉市,4201.0, 刘莎莎,2017-09-01,F;F
57,家族成员在董事会中的角色研究——基于家族非执行董事的视角,管理世界,经济与管理,北京市,1100,赵宜一,对外经济贸易大学,北京市,1100.0, 吕长江,2017-09-01,F
58,企业社会责任的多元属性及其实现机制的构建,管理世界,经济与管理,北京市,1100,张世君,首都经济贸易大学,北京市,1100.0,,2017-09-01,F
59,价格刚性、异质性预期和通货膨胀动态,管理世界,经济与管理,北京市,1100,邓燕飞,华东师范大学,上海市,3100.0, 董丰; 徐迎风; 冯文伟,2017-09-01,F;F
60,高管之“人”的先天特征在IPO市场中起作用吗?,管理世界,经济与管理,北京市,1100,沈艺峰,厦门大学,厦门市,3502.0, 王夫乐; 黄娟娟; 纪荣嵘,2017-09-01,F
61,能源安全视角下我国页岩气产业绿色发展路径与保障政策,管理世界,经济与管理,北京市,1100,黎江峰,中国地质大学,北京市,1100.0, 吴巧生; 汪金伟,2017-08-01,F
62,进口农产品贸易对我国耕地规模传导效应实证研究,管理世界,经济与管理,北京市,1100,安芝,上海理工大学,上海市,3100.0, 宋良荣,2017-08-01,F;F;F
63,政府支持型自组织构建——基于深圳食品安全社会共治的案例研究,管理世界,经济与管理,北京市,1100,谢康,中山大学,广州市,4401.0, 刘意; 肖静华; 刘亚平,2017-08-01,D;F
64,美国医疗保障制度公平性与效率性的关系演变分析,管理世界,经济与管理,北京市,1100,周博闻,吉林大学,长春市,2201.0, 崔健,2017-08-01,D;DD
65,城市规模、技能差异与劳动者工资收入,管理世界,经济与管理,北京市,1100,李红阳,南开大学,天津市,1200.0, 邵敏,2017-08-01,F;F
66,基于VAR模型的物流产业与区域经济长期关系研究,管理世界,经济与管理,北京市,1100,张竟成,北京交通大学,北京市,1100.0, 张竟轶,2017-08-01,F;F
67,实现第二个“一百年”目标需要多高增速?,管理世界,经济与管理,北京市,1100,盛来运,国家统计局,北京市,1100.0, 郑鑫,2017-10-01,F
68,国有企业混合所有制改革:动力、阻力与实现路径,管理世界,经济与管理,北京市,1100,綦好东,山东财经大学,济南市,3701.0, 郭骏超; 朱炜,2017-10-01,F
69,政府质量、公司治理结构与投资决策——基于世界银行企业调查数据的经验研究,管理世界,经济与管理,北京市,1100,焦豪,北京师范大学,北京市,1100.0, 焦捷; 刘瑞明,2017-10-01,F;F
70,创业企业如何构建联结组合提升绩效?——基于“结构—资源”互动过程的案例研究,管理世界,经济与管理,北京市,1100,韩炜,西南政法大学,重庆市,5000.0, 杨俊; 陈逢文; 张玉利; 邓渝,2017-10-01,F
71,发挥好财务信息在破解僵尸企业难题中的作用,管理世界,经济与管理,北京市,1100,沈剑飞,华北电力大学,北京市,1100.0,,2017-10-01,F
72,我国宏观审慎政策规则确立与传导路径研究——基于内生银行破产机制的BGG-DSGE模型,管理世界,经济与管理,北京市,1100,李天宇,吉林大学,长春市,2201.0, 张屹山; 张鹤,2017-10-01,F
73,基于RBRVS基础上的医院综合绩效评价,管理世界,经济与管理,北京市,1100,赵进进,郑州大学,郑州市,4101.0,,2017-09-01,R
74,劳动力流动与农村社会治安:模型与实证,管理世界,经济与管理,北京市,1100,刘彬彬,上海交通大学,上海市,3100.0, 林滨; 冯博; 史清华,2017-09-01,D;F
75,基于随机森林的企业监管方法研究,管理世界,经济与管理,北京市,1100,于焕杰,中国人民大学,北京市,1100.0, 杜子芳,2017-09-01,F
76,凝结了中国智慧的马克思主义政治经济学——党的十八大以来我国的经济理论创新,管理世界,经济与管理,北京市,1100,黄晓勇,中国社会科学院,北京市,1100.0,,2017-09-01,F
78,如虎添翼抑或燕巢危幕:承销商、大客户与公司债发行定价,管理世界,经济与管理,北京市,1100,王雄元,中南财经政法大学,武汉市,4201.0, 高开娟,2017-09-01,F;F
79,环境因素、CEO过度自信与IT投资绩效,管理世界,经济与管理,北京市,1100,王铁男,哈尔滨工业大学,哈尔滨市,2301.0, 王宇; 赵凤,2017-09-01,F;F
80,创业生态系统研究的知识基础与前沿重点,管理世界,经济与管理,北京市,1100,滕堂伟,华东师范大学,上海市,3100.0,,2017-09-01,F
81,面子文化中消费者生态产品偏好的眼动研究,管理世界,经济与管理,北京市,1100,施卓敏,中山大学,广州市,4401.0, 郑婉怡,2017-09-01,F
82,声誉提升抑或利益结盟:关联证券分析师实地调研动因研究,管理世界,经济与管理,北京市,1100,唐松莲,华东理工大学,上海市,3100.0, 陈伟,2017-09-01,F
83,空气污染对企业库存的影响——基于我国制造业企业数据的实证研究,管理世界,经济与管理,北京市,1100,李超,西南财经大学,成都市,5101.0, 李涵,2017-08-01,F;F;X
84,网络突发事件的传播与控制策略研究,管理世界,经济与管理,北京市,1100,唐晓彬,对外经济贸易大学,北京市,1100.0, 魏超然; 周志敏; 董莉; 刘敦虎,2017-08-01,D
85,政府的合约性质及其经济治理——基于中国地方政府若干实践的交易费用考察,管理世界,经济与管理,北京市,1100,周燕,中山大学,广州市,4401.0,,2017-08-01,D;F
86,新常态下地方投融资平台转型发展及对策建议,管理世界,经济与管理,北京市,1100,徐鹏程,国务院,北京市,1100.0,,2017-08-01,D
87,大学扩招如何影响高等教育溢价?,管理世界,经济与管理,北京市,1100,马光荣,中国人民大学,北京市,1100.0, 纪洋; 徐建炜,2017-08-01,G
88,论区域政府竞争,管理世界,经济与管理,北京市,1100,陈云贤,广东省人民政府,广州市,4401.0,,2017-08-01,F
89,供需失衡与供给侧结构性改革,管理世界,经济与管理,北京市,1100,余斌,国务院,北京市,1100.0, 吴振宇,2017-08-01,F
90,出行共享中的用户价值共创机理——基于优步的案例研究,管理世界,经济与管理,北京市,1100,杨学成,北京邮电大学,北京市,1100.0, 涂科,2017-08-01,F;F
91,央企董事会试点、国有上市公司代理成本与企业绩效,管理世界,经济与管理,北京市,1100,李文贵,浙江财经大学,杭州市,3301.0, 余明桂; 钟慧洁,2017-08-01,F;F;F
92,分享经济的微观机理研究:新兴古典与新古典,管理世界,经济与管理,北京市,1100,向国成,湖南科技大学,湘潭市,4303.0, 钟世虎; 谌亭颖; 邓明君,2017-08-01,F
93,内部知识转化视角下商业银行服务创新研究,管理世界,经济与管理,北京市,1100,陈晓芳,武汉理工大学,武汉市,4201.0, 黄文才; 夏文蕾; 胡瑜,2017-08-01,F
94,文化认同、国货意识与中国城市市场细分战略——来自中国六城市的证据,管理世界,经济与管理,北京市,1100,何佳讯,华东师范大学,上海市,3100.0, 吴漪; 丁利剑; 王承璐,2017-07-01,F;F;G
95,父母健康:金钱和时间孰轻孰重?——农村子女外出务工影响的再审视,管理世界,经济与管理,北京市,1100,刘畅,南京农业大学,南京市,3201.0, 易福金; 徐志刚,2017-07-01,C
96,中国企业对“一带一路”国家国际化经营方式研究——基于国家距离视角的考察,管理世界,经济与管理,北京市,1100,方慧,山东财经大学,济南市,3701.0, 赵甜,2017-07-01,F;F
97,从地块层面看农业规模经营——基于流转租金与地块规模关系的讨论,管理世界,经济与管理,北京市,1100,纪月清,南京农业大学,南京市,3201.0, 顾天竹; 陈奕山; 徐志刚; 钟甫宁,2017-07-01,F
98,人力资本社会网络与企业创新——基于在线简历数据的实证研究,管理世界,经济与管理,北京市,1100,刘善仕,华南理工大学,广州市,4401.0, 孙博; 葛淳棉; 王琪,2017-07-01,F;F
99,分布式协同创新网络中任务冲突机理研究,管理世界,经济与管理,北京市,1100,刘颖,哈尔滨工业大学,哈尔滨市,2301.0, 胡珑瑛; 王钢,2017-07-01,F
101,股价波动、市场操纵与证券市场监管,管理世界,经济与管理,北京市,1100,钟廷勇,重庆工商大学,重庆市,5000.0, 李江娜; 郭志刚,2017-07-01,F
102,经济政策审计评价作用机制研究,管理世界,经济与管理,北京市,1100,王延军,中国财政科学研究院,北京市,1100.0, 张筱,2017-07-01,F
103,西部地区绿色发展水平测度及空间分异研究,管理世界,经济与管理,北京市,1100,蔡绍洪,贵州财经大学,贵阳市,5201.0, 魏媛; 刘明显,2017-06-01,F;X
104,绿色治理:一种新的分析框架,管理世界,经济与管理,北京市,1100,廖小东,贵州财经大学,贵阳市,5201.0, 史军,2017-06-01,D
105,供给侧改革视阈中的新生代农民工就业转型研究,管理世界,经济与管理,北京市,1100,张宏如,常州大学,常州市,3204.0, 李群; 彭伟,2017-06-01,F;F
106,政府效率、社会决策机制和再分配偏好——基于中国被试的实验经济学研究,管理世界,经济与管理,北京市,1100,杨晓兰,上海外国语大学,上海市,3100.0, 周业安,2017-06-01,F
107,低碳发展作为宏观经济目标的理论探讨——基于中国情形,管理世界,经济与管理,北京市,1100,厉以宁,北京大学,北京市,1100.0, 朱善利; 罗来军; 杨德平,2017-06-01,F
108,品牌生态圈成长路径及其机理研究——云南白药1999～2015年纵向案例研究,管理世界,经济与管理,北京市,1100,许晖,南开大学,天津市,1200.0, 邓伟升; 冯永春; 雷晓凌,2017-06-01,F;F
109,后发国家的适宜性技术进步路径——基于近代中国丝织业发展史的分析,管理世界,经济与管理,北京市,1100,邢楠,吉林财经大学,长春市,2201.0, 袁礼; 国胜铁,2017-06-01,F
110,管理层能力对企业并购的影响研究,管理世界,经济与管理,北京市,1100,肖明,北京科技大学,北京市,1100.0, 李海涛,2017-06-01,F;F
111,服务还是监控:风险投资机构对创业企业的管理——行业专长与不确定性的视角,管理世界,经济与管理,北京市,1100,董静,上海财经大学,上海市,3100.0, 汪江平; 翟海燕; 汪立,2017-06-01,F;F
112,产能过剩引致对外直接投资吗?——2005～2007年中国的经验研究,管理世界,经济与管理,北京市,1100,王自锋,南开大学,天津市,1200.0, 白玥明,2017-08-01,F
113,“原罪”嫌疑与民营企业会计信息质量,管理世界,经济与管理,北京市,1100,唐松,上海财经大学,上海市,3100.0, 温德尔; 孙铮,2017-08-01,F;F
114,从“反应”到“前摄”:万向在美国的合法性战略演化(1994～2015),管理世界,经济与管理,北京市,1100,魏江,浙江大学,杭州市,3301.0, 王诗翔,2017-08-01,F
115,多产品企业、汇率变动与出口价格传递,管理世界,经济与管理,北京市,1100,韩剑,南京大学,南京市,3201.0, 郑秋玲; 邵军,2017-08-01,F;F
116,公务员诚信管理——基于过程的视角,管理世界,经济与管理,北京市,1100,杨秋菊,上海立信会计金融学院,上海市,3100.0,,2017-07-01,D
117,媒体报道能否弥合资本市场上的信息鸿沟?——基于社会关系网络视角的实证考察,管理世界,经济与管理,北京市,1100,杨玉龙,浙江工商大学,杭州市,3301.0, 孙淑伟; 孔祥,2017-07-01,F;G
118,关系制约产业转移吗?——“关系嵌入—信任—转移意愿”的影响研究,管理世界,经济与管理,北京市,1100,杨玲丽,上海政法学院,上海市,3100.0, 万陆,2017-07-01,F
119,“互联网+”背景下的新型农业经营主体信息化发展状况及对策建议——基于全国1394个新型农业经营主体调查数据,管理世界,经济与管理,北京市,1100,阮荣平,中国人民大学,北京市,1100.0, 周佩; 郑风田,2017-07-01,F
120,“振兴东北老工业基地”有利于产值还是利润?——来自中国工业企业数据的证据,管理世界,经济与管理,北京市,1100,董香书,首都经济贸易大学,北京市,1100.0, 肖翔,2017-07-01,F
121,企业捐赠中的锚定效应研究——基于“汶川地震”和“雅安地震”中企业捐赠的实证研究,管理世界,经济与管理,北京市,1100,祝继高,对外经济贸易大学,北京市,1100.0, 辛宇; 仇文妍,2017-07-01,F;F
122,服务型企业顾客融入驱动机制研究——基于体验的视角,管理世界,经济与管理,北京市,1100,陈静,中山大学,广州市,4401.0, 于洪彦; 刘容,2017-07-01,F
123,卖空压力与公司并购——来自卖空管制放松的准自然实验证据,管理世界,经济与管理,北京市,1100,陈胜蓝,内蒙古大学,呼和浩特市,1501.0, 马慧,2017-07-01,F
124,保险代理公司业务转型趋势——以湖北省代理公司业务转型为例,管理世界,经济与管理,北京市,1100,胡亚兰,中南民族大学,武汉市,4201.0,,2017-07-01,F
125,中国管理学研究:大历史跨越中的逻辑困局——相关文献的一个整合性评论,管理世界,经济与管理,北京市,1100,李宝元,北京师范大学,北京市,1100.0, 董青; 仇勇,2017-07-01,C
126,文化创意产业与乡村旅游产业的融合发展研究,管理世界,经济与管理,北京市,1100,李静,山西财经大学,太原市,1401.0,,2017-06-01,F;F;G
127,激励众包网络化创新的知识产权制度研究,管理世界,经济与管理,北京市,1100,叶伟巍,浙江财经大学,杭州市,3301.0,,2017-06-01,D
128,城镇居民住房资产对家庭消费的财富效应,管理世界,经济与管理,北京市,1100,余新平,宁波大学,宁波市,3302.0, 熊德平,2017-06-01,F;F
129,收入不平等、公平偏好与再分配的实验研究,管理世界,经济与管理,北京市,1100,汪良军,浙江工业大学,杭州市,3301.0, 童波,2017-06-01,F
130,金融体制改革与经济效率提升——来自省级面板数据的经验分析,管理世界,经济与管理,北京市,1100,刘贯春,复旦大学,上海市,3100.0, 张军; 丰超,2017-06-01,F;F
131,交通基础设施视角下西部地区制造业集聚的区位熵分析,管理世界,经济与管理,北京市,1100,唐红祥,广西财经学院,南宁市,4501.0,,2017-06-01,F
132,企业规模、政企关系与实际税率——来自世界银行“投资环境调查”的证据,管理世界,经济与管理,北京市,1100,申广军,中央财经大学,北京市,1100.0, 邹静娴,2017-06-01,F;F
133,中国企业创新动向指数:创新的环境、战略与未来——2017·中国企业家成长与发展专题调查报告,管理世界,经济与管理,北京市,1100,仲为国,中国企业家调查系统,北京市,1100.0, 李兰; 路江涌; 彭泗清; 潘建成; 郝大海; 王云峰,2017-06-01,F
134,什么样的中小企业能够从供应链金融中获益?——基于网络和能力的视角,管理世界,经济与管理,北京市,1100,宋华,中国人民大学,北京市,1100.0, 卢强,2017-06-01,F;F
135,组织印记、生态位与新创企业成长——基于组织生态学视角的质性研究,管理世界,经济与管理,北京市,1100,梁强,汕头大学,汕头市,4405.0, 邹立凯; 宋丽红; 李新春; 王博,2017-06-01,F
136,组态视角与定性比较分析(QCA):管理学研究的一条新道路,管理世界,经济与管理,北京市,1100,杜运周,东南大学,南京市,3201.0, 贾良定,2017-06-01,C
137,大型水利水电工程移民补贴博弈分析,管理世界,经济与管理,北京市,1100,白葳,对外经济贸易大学,北京市,1100.0,,2017-05-01,D;F;F
138,经济新常态下大都市人口管理研究——以北京市为例,管理世界,经济与管理,北京市,1100,徐芳,首都经济贸易大学,北京市,1100.0, 齐明珠,2017-05-01,C
139,政府偏袒缓解了企业融资约束吗?——来自中国的准自然实验,管理世界,经济与管理,北京市,1100,卢盛峰,武汉大学,武汉市,4201.0, 陈思霞,2017-05-01,F;F
140,IPO公司产品市场竞争效应——基于中国制造业上市公司的实证研究,管理世界,经济与管理,北京市,1100,唐文秀,重庆工商大学,重庆市,5000.0,,2017-05-01,F;F
141,独立董事只能连任6年合理吗?——基于我国A股上市公司的实证研究,管理世界,经济与管理,北京市,1100,陈冬华,南京大学,南京市,3201.0, 相加凤,2017-05-01,F;F
142,用户设计能否包打天下?——自我建构对用户设计产品偏好的影响研究,管理世界,经济与管理,北京市,1100,宋晓兵,大连理工大学,大连市,2102.0, 徐珂欣; 吴育振,2017-05-01,F
143,货币政策与集团企业负债模式研究,管理世界,经济与管理,北京市,1100,何捷,北京大学,北京市,1100.0, 张会丽; 陆正飞,2017-05-01,F;F
144,人民币升值对出口质量的提升效应:来自中国的微观证据,管理世界,经济与管理,北京市,1100,余淼杰,北京大学,北京市,1100.0, 张睿,2017-05-01,F;F
145,中国通胀预期测度及时变系数的菲利普斯曲线,管理世界,经济与管理,北京市,1100,何启志,安徽财经大学,蚌埠市,3403.0, 姚梦雨,2017-05-01,F
146,综合化经营对中国商业银行稳定性的影响及其对策,管理世界,经济与管理,北京市,1100,邹克,湖南大学,长沙市,4301.0, 彭建刚,2017-05-01,F
147,语言差异与市场制度发展,管理世界,经济与管理,北京市,1100,阮建青,浙江大学,杭州市,3301.0, 王凌,2017-04-01,F;H
148,体制内关系与创业,管理世界,经济与管理,北京市,1100,张峰,中国特色社会主义经济建设协同创新中心,北京市,1100.0, 黄玖立; 禹航,2017-04-01,D
149,“一带一路”战略下优化中国对外直接投资布局的思路与对策,管理世界,经济与管理,北京市,1100,张述存,山东社会科学院,济南市,3701.0,,2017-04-01,F
150,地方政府债务管理、财政政策转向与经济增长,管理世界,经济与管理,北京市,1100,梁帅,贵州财经大学,贵阳市,5201.0,,2017-04-01,F;F;F
151,契约环境、融资约束与“信号弱化”效应——基于中国制造业企业的实证研究,管理世界,经济与管理,北京市,1100,杨畅,天津师范大学,天津市,1200.0, 庞瑞芝,2017-04-01,F;F
152,供应网络联系强度与风险分担:依赖不对称的调节作用,管理世界,经济与管理,北京市,1100,崔蓓,东北财经大学,大连市,2102.0, 王玉霞,2017-04-01,F
153,从价值提供到价值共创的营销转型——企业与消费者协同演化视角的双案例研究,管理世界,经济与管理,北京市,1100,吴瑶,中山大学,广州市,4401.0, 肖静华; 谢康; 廖雪华,2017-04-01,F
154,包容型领导对一线员工服务创新的影响研究,管理世界,经济与管理,北京市,1100,肖小虹,贵州财经大学,贵阳市,5201.0, 张亚军; 程志辉,2017-04-01,F
155,欧美转基因生物监管政策及其国际影响的比较研究,管理世界,经济与管理,北京市,1100,邓宗豪,四川大学,成都市,5101.0, 郭籽实,2017-05-01,S
156,农户耕地经营规模对粮食单产和生产成本的影响——基于跨时期和地区的实证研究,管理世界,经济与管理,北京市,1100,唐轲,中国农业科学院,北京市,1100.0, 王建英; 陈志钢,2017-05-01,F;F
157,经济全球化与中国的经济结构调整,管理世界,经济与管理,北京市,1100,王东京,中央党校,北京市,1100.0,,2017-05-01,F;F
158,我国工业设计产业竞争力分析与发展对策研究,管理世界,经济与管理,北京市,1100,刘键,北京工业大学,北京市,1100.0, 戴俭,2017-05-01,F
