index,Unnamed: 0,Unnamed: 0.1,id,title,author,author_unit,mag_name,year_period,cited,download,keyword,abstract,fund,class_num,page_num,page_range,author_first,paper_num,aufw,content,cut_out,cutlength
31,31,31,32,社会信任是否会提升企业并购绩效?;,王艳; 李善民,  广东财经大学会计学院  中山大学管理学院  中山大学并购重组研究,管理世界;,2017-12-15,1,1058,"关键词：并购绩效;
社会信任;
法律制度;
信息不对称;","本文以企业并购事件为研究对象,从交易成本的视角,检验了我国上市公司所在地区非正式制度社会信任对并购交易主体价值创造能力的影响。实证研究发现:主并公司所在地区社会信任程度越高,越有助于并购交易主体之间通过信任与互惠降低机会主义和免费搭车行为,督促交易双方彼此的诚实守信合作行为,减少不确定性,最终促进并购合作行为的产生,提高并购价值创造能力。这种作用在民营企业和地区法律水平较低的地区作为更为显著。在对并购绩效的影响方面,法律制度和社会信任之间存在着替代关系。进一步研究发现,地区社会信任程度会减少主并企业选聘市场中介机构的行为,降低交易成本。本文揭示了非正式制度帮助主并公司通过地区信任水平降低信息不对称和交易成本,创造并购价值的可行性和重要性,研究结论不仅对理解转轨经济阶段我国资本市场并购行为提供了一种新的视角,而且丰富了非正式制度的研究领域。",基金：国家社科基金项目“国有企业混合所有制并购中的信任创新机制研究(16BGL058)”的阶段性成果；,分类号：F271,20,125-140,王艳,,w,"社会信任是否会提升企业并购绩效?;;关键词：并购绩效;
社会信任;
法律制度;
信息不对称;本文以企业并购事件为研究对象,从交易成本的视角,检验了我国上市公司所在地区非正式制度社会信任对并购交易主体价值创造能力的影响。实证研究发现:主并公司所在地区社会信任程度越高,越有助于并购交易主体之间通过信任与互惠降低机会主义和免费搭车行为,督促交易双方彼此的诚实守信合作行为,减少不确定性,最终促进并购合作行为的产生,提高并购价值创造能力。这种作用在民营企业和地区法律水平较低的地区作为更为显著。在对并购绩效的影响方面,法律制度和社会信任之间存在着替代关系。进一步研究发现,地区社会信任程度会减少主并企业选聘市场中介机构的行为,降低交易成本。本文揭示了非正式制度帮助主并公司通过地区信任水平降低信息不对称和交易成本,创造并购价值的可行性和重要性,研究结论不仅对理解转轨经济阶段我国资本市场并购行为提供了一种新的视角,而且丰富了非正式制度的研究领域。",社会信任 是否 企业 并购绩效 关键词 并购绩效 社会信任 法律制度 信息不对称 企业并购 事件 研究对象 交易成本 检验 上市公司 所在 地区 非正式制度 社会信任 并购 交易 主体 价值创造 能力 实证研究 主并公司 所在 地区 社会信任 越高越 有助于 并购 交易 主体 信任 互惠 机会主义 免费搭车 督促 交易 双方 诚实 守信 合作行为 减少 不确定性 最终 并购 合作行为 并购 价值创造 能力 民营企业 地区 法律 地区 更为 并购绩效 法律制度 社会信任 替代关系 地区 社会信任 减少 主并 企业 选聘 市场 中介机构 交易成本 揭示 非正式制度 帮助 主并公司 地区 信任 信息不对称 交易成本 创造 并购 价值 可行性 重要性 结论 理解 转轨经济 阶段 资本市场 并购行为 提供 新 丰富 非正式制度 ,364
32,32,32,33,如何通过政府营销推动地方创业活动——基于武汉市政府创业营销的案例研究;,汪涛; 肖潇; 聂春艳,  武汉大学经济与管理学院,管理世界;,2017-12-15,0,623,"关键词：政府创业营销;
意义建构;
意义赋予;
创业意向;","进入新常态下,创新、创业正在成为我国经济发展的重要引擎,因此,如何提高社会大众的创业积极性就成为各级政府的重要工作,进而引发了政府创业营销实践。本文以武汉市作为案例研究对象,探索了其政府创业营销的实践过程。深入研究后发现,政府创业营销的实质就是一个政府关于创业的意义建构过程,关键在于作为营销主体的政府部门与目标群体以及其他利益主体之间的意义赋予互动,通过彼此之间的双向意义赋予且高互动,使得各主体之间对创业形成统一的认知与理解,进而促进集体性创业行为的出现。本研究不仅揭示了政府营销构建的一般过程与规律,也为未来的政府营销实践提供了有价值的指导。","基金：教育部哲学社会科学研究重大课题攻关项目“战略性新兴产业国际化发展战略研究”(14JZD017)；
国家自然科学基金重点项目“全球化和网络化环境下的中国企业品牌国际化营销战略研究”(71532011)的阶段性研究成果；",分类号：F279.27,20,158-171,汪涛,1.0,w,"如何通过政府营销推动地方创业活动——基于武汉市政府创业营销的案例研究;;关键词：政府创业营销;
意义建构;
意义赋予;
创业意向;进入新常态下,创新、创业正在成为我国经济发展的重要引擎,因此,如何提高社会大众的创业积极性就成为各级政府的重要工作,进而引发了政府创业营销实践。本文以武汉市作为案例研究对象,探索了其政府创业营销的实践过程。深入研究后发现,政府创业营销的实质就是一个政府关于创业的意义建构过程,关键在于作为营销主体的政府部门与目标群体以及其他利益主体之间的意义赋予互动,通过彼此之间的双向意义赋予且高互动,使得各主体之间对创业形成统一的认知与理解,进而促进集体性创业行为的出现。本研究不仅揭示了政府营销构建的一般过程与规律,也为未来的政府营销实践提供了有价值的指导。",政府 营销 地方 创业 活动 武汉市 政府创业营销 案例研究 关键词 政府创业营销 意义建构 意义赋予 创业意向 进入 新常态 创新创业 正在 经济发展 引擎 社会 大众 创业 积极性 各级 政府 工作 引发 政府创业营销 实践 武汉市 案例研究 对象 探索 政府创业营销 实践 深入研究 政府创业营销 实质 政府 创业 意义建构 关键在于 营销 主体 政府部门 目标群体 利益 主体 意义赋予 互动 彼此之间 双向 意义赋予 互动 主体 创业 统一 认知 理解 集体性 创业 出现 揭示 政府 营销 规律 未来 政府 营销 实践 提供 价值 指导 ,275
33,33,33,34,中国信息经济学乌家培奖简介;,,  中国信息经济学会,管理世界;,2017-12-15,0,43,;,"<正>中国信息经济学会成立于1989年3月,是国家民政部登记注册的国家学术研究团体。学会致力在信息经济与信息管理领域搭建跨学科理论创新的桥梁,推动跨学科发展。学会创始人乌家培教授为中国著名经济学家,中国数量经济学和信息经济学创始人。为促进中国信息经济与信息符理领域的年青学者产生影响世界未来30年理论发展的创新成果,中国信息经济学会于2015年设立中国信息经济学乌家培奖,以表彰中国信息经济与信",,分类号：F49,1,4,,,n,"中国信息经济学乌家培奖简介;;;<正>中国信息经济学会成立于1989年3月,是国家民政部登记注册的国家学术研究团体。学会致力在信息经济与信息管理领域搭建跨学科理论创新的桥梁,推动跨学科发展。学会创始人乌家培教授为中国著名经济学家,中国数量经济学和信息经济学创始人。为促进中国信息经济与信息符理领域的年青学者产生影响世界未来30年理论发展的创新成果,中国信息经济学会于2015年设立中国信息经济学乌家培奖,以表彰中国信息经济与信",信息经济学 乌家 培奖 简介 信息经济学 成立 月 国家 民政部 登记注册 国家 学术研究 团体 学会 致力 信息 经济 信息管理 搭建 跨学科 理论创新 桥梁 跨学科 发展 学会 创始人 乌家培 教授 著名 经济学家 数量 经济学 信息经济学 创始人 信息 经济 信息 符理 年青 学者 世界 未来 理论发展 创新 成果 信息经济学 会于 设立 信息经济学 乌家 培奖 表彰 信息 经济 信 ,197
34,34,34,35,2018中国信息经济学乌家培奖评选公告;,,  中国信息经济学会,管理世界;,2017-12-15,0,37,;,"<正>评奖对象:(1)获奖年龄不超45周岁的中国国籍者;(2)在不限时间的国内外学术期刊上公开发表信息经济和信息管理领域的论文;(3)论文理论成果具有重要的学术创新性和影响力。奖励金额:20万元人民币及获奖证书。奖励人数:1-3名/年。获奖者博士生团队持续资助机制:获奖者指导的博士生团队,在获奖第二年自然获""中国信息经济学乌家培优秀博士生奖"",奖励金额为10万元人民币及获奖证书,后续资助视第一次资助学术创新成效而定。",,分类号：F49,1,5,,,n,"2018中国信息经济学乌家培奖评选公告;;;<正>评奖对象:(1)获奖年龄不超45周岁的中国国籍者;(2)在不限时间的国内外学术期刊上公开发表信息经济和信息管理领域的论文;(3)论文理论成果具有重要的学术创新性和影响力。奖励金额:20万元人民币及获奖证书。奖励人数:1-3名/年。获奖者博士生团队持续资助机制:获奖者指导的博士生团队,在获奖第二年自然获""中国信息经济学乌家培优秀博士生奖"",奖励金额为10万元人民币及获奖证书,后续资助视第一次资助学术创新成效而定。",信息经济学 乌家 培奖 评选 公告 评奖 对象 获奖 年龄 不超 周岁 国籍 不限 时间 国内外 学术期刊 公开 发表 信息 经济 信息管理 论文 论文 成果 学术 创新性 影响力 奖励 金额 万元 人民币 获奖 证书 奖励 人数 名年 获奖者 博士生 团队 持续 资助 机制 获奖者 指导 博士生 团队 获奖 第二年 自然 获 信息经济学 乌家培 优秀 博士生 奖 奖励 金额 万元 人民币 获奖 证书 后续 资助 视 第一次 资助 学术 创新 成效 而定 ,230
35,35,35,36,中国式“压力型”财政激励的财源增长效应——基于取消农业税改革的实证研究;,谢贞发; 严瑾; 李培,  厦门大学经济学院财政系,管理世界;,2017-12-15,0,532,"关键词：财政压力;
工业增长;
环境污染;","在经济社会转型期,地方政府面临着""压力型体制""下复杂多样的压力来源,积极汲取财政收入成为地方政府应对压力的主要途经,从而形成典型的中国式""压力型""财政激励。文章以取消农业税改革作为地方政府财政压力变化的准自然实验,利用强度双重差分法实证检验财政压力变化的财源增长效应。文章研究发现,在同一地区内,取消农业税改革后财政压力更大的县,其第二产业尤其是工业产值实现了更快增长。但这一结果并未出现在同一地区中农业税占比更大的县,说明地方政府的财源建设行为更多来自财政压力的激励而非税收结构变化的激励。这种财政压力的工业增长效应更多发生于工业基础薄弱和财政自给率高的地区,且放松环境规制成为地方政府实现工业增长效应的重要手段。","基金：国家自然科学基金面上项目(71573218、71673229)；
福建省自然科学基金计划资助项目(2017J01134)；
中央高校基本科研业务费专项资金(20720161013)的资助；",分类号：F812,20,46-60+187-188,谢贞发,,x,"中国式“压力型”财政激励的财源增长效应——基于取消农业税改革的实证研究;;关键词：财政压力;
工业增长;
环境污染;在经济社会转型期,地方政府面临着""压力型体制""下复杂多样的压力来源,积极汲取财政收入成为地方政府应对压力的主要途经,从而形成典型的中国式""压力型""财政激励。文章以取消农业税改革作为地方政府财政压力变化的准自然实验,利用强度双重差分法实证检验财政压力变化的财源增长效应。文章研究发现,在同一地区内,取消农业税改革后财政压力更大的县,其第二产业尤其是工业产值实现了更快增长。但这一结果并未出现在同一地区中农业税占比更大的县,说明地方政府的财源建设行为更多来自财政压力的激励而非税收结构变化的激励。这种财政压力的工业增长效应更多发生于工业基础薄弱和财政自给率高的地区,且放松环境规制成为地方政府实现工业增长效应的重要手段。",中国式 压力 财政激励 财源 增长效应 取消 农业税 改革 实证研究 关键词 财政压力 工业增长 环境污染 经济社会 转型期 地方政府 压力型体制 复杂 多样 压力 来源 积极 汲取 财政收入 地方政府 应对 压力 途经 典型 中国式 压力 财政激励 取消 农业税 改革 地方政府 财政压力 变化 准 自然实验 强度 双重差分法 实证检验 财政压力 变化 财源 增长效应 同一 地区 内 取消 农业税 改革 财政压力 更大 县 第二产业 尤其 工业产值 快 增长 并未 出现 同一 地区 农业税 占 大 县 说明 地方政府 财源 建设 来自 财政压力 激励 非 税收结构 变化 激励 财政压力 工业 增长效应 工业 基础薄弱 财政自给率 地区 放松 环境规制 地方政府 工业 增长效应 手段 ,346
36,36,36,37,经济学研究中“数学滥用”现象及反思;,陆蓉; 邓鸣茂,  上海财经大学金融学院  上海对外经贸大学金融管理学院,管理世界;,2017-11-15,0,594,"关键词：经济学数学;
数学滥用;
因果关系;","《美国经济评论》2015年发表罗默的一篇批判性文章《经济增长理论中的数学滥用》,在国际上掀起了对经济学研究中""数学滥用""现象的广泛争议。本文首先回顾这场争议,然后从经济学研究中引入数学的历史和积极作用、""数学滥用""的表现、""数学滥用""的负面影响等方面剖析这一现象,阐述对该问题所引发的对经济学研究、教学和未来发展的反思。研究发现,""数学滥用""在我国的经济学研究中也在一定程度上存在。值得反思的是,""数学滥用""会阻碍经济学思想的创新,学术期刊的同行评议强化了""数学滥用""问题,""数学滥用""还会通过教学活动产生代际影响。中国经济学界曾开展三轮广泛讨论,主动纠正""数学滥用""。为达到中国经济学科的""双一流""建设目标,经济学研究和教学应注重经济直觉培养,明确有创新的中国经济问题,坚持因果关系辨识,坚持使用数学的简单、适用、严谨。","基金：国家自然科学基金项目“交易传染与非理性价格形成:基于投资者画像的精准识别”(71773072)；
国家自然科学基金项目“信息型市场操纵经济后果及其监管研究”(71773073)的资助；",分类号：F0;O29,20,10-21,陆蓉,,l,"经济学研究中“数学滥用”现象及反思;;关键词：经济学数学;
数学滥用;
因果关系;《美国经济评论》2015年发表罗默的一篇批判性文章《经济增长理论中的数学滥用》,在国际上掀起了对经济学研究中""数学滥用""现象的广泛争议。本文首先回顾这场争议,然后从经济学研究中引入数学的历史和积极作用、""数学滥用""的表现、""数学滥用""的负面影响等方面剖析这一现象,阐述对该问题所引发的对经济学研究、教学和未来发展的反思。研究发现,""数学滥用""在我国的经济学研究中也在一定程度上存在。值得反思的是,""数学滥用""会阻碍经济学思想的创新,学术期刊的同行评议强化了""数学滥用""问题,""数学滥用""还会通过教学活动产生代际影响。中国经济学界曾开展三轮广泛讨论,主动纠正""数学滥用""。为达到中国经济学科的""双一流""建设目标,经济学研究和教学应注重经济直觉培养,明确有创新的中国经济问题,坚持因果关系辨识,坚持使用数学的简单、适用、严谨。",经济学研究 数学滥用 现象 反思 关键词 经济学数学 数学滥用 因果关系 美国 经济 评论 发表 罗默 一篇 批判性 经济增长理论 数学滥用 国际 掀起 经济学研究 数学滥用 现象 广泛 争议 回顾 这场 争议 经济学研究 引入 数学 历史 积极 数学滥用 数学滥用 负面影响 剖析 这一 现象 阐述 引发 经济学研究 教学 未来 发展 反思 数学滥用 经济学研究 值得反思 数学滥用 阻碍 经济学 思想 创新 学术期刊 同行评议 强化 数学滥用 数学滥用 还会 教学活动 代际影响 经济学界 曾 开展 三轮 广泛 讨论 主动 纠正 数学滥用 达到 中国经济 学科 双 一流 建设 目标 经济学研究 教学 注重 经济 直觉 培养 明确 创新 中国经济 坚持 因果关系 辨识 坚持 使用 数学 简单 适用 严谨 ,355
37,37,37,38,基于Sen可行能力理论的农民工福利制度改进研究;,宋艳; 苏子逢; 门建营; 孙典,  哈尔滨工程大学经济管理学院,管理世界;,2017-11-15,0,328,"关键词：农民工福利;
可行能力;
多重共线性;","本文以阿马蒂亚·森(Amartya Sen)的可行能力理论为基础,用判断多重共线性的方法对农民工的福利指标进行筛选,利用调查问卷与统计资料相结合所获得的数据构建结构方程模型对农民工的福利水平影响因素进行实证分析。研究结果显示,保障状况对农民工福利水平影响尤为显著,其中医疗、教育、安全3项保障与农民工福利水平密切相关。研究为政府制定政策制度提供参考,从而改善农民工福利水平,缓解社会矛盾。",基金：国家软科学计划研究项目“重特大灾害社会风险演化机理及多元治理研究”(2013GXS4D113)的支持；,分类号：D412.6,2,172-173,宋艳,1.0,s,"基于Sen可行能力理论的农民工福利制度改进研究;;关键词：农民工福利;
可行能力;
多重共线性;本文以阿马蒂亚·森(Amartya Sen)的可行能力理论为基础,用判断多重共线性的方法对农民工的福利指标进行筛选,利用调查问卷与统计资料相结合所获得的数据构建结构方程模型对农民工的福利水平影响因素进行实证分析。研究结果显示,保障状况对农民工福利水平影响尤为显著,其中医疗、教育、安全3项保障与农民工福利水平密切相关。研究为政府制定政策制度提供参考,从而改善农民工福利水平,缓解社会矛盾。",可行能力 农民工福利 制度 改进 关键词 农民工福利 可行能力 多重共线性 马蒂亚 森 可行能力 判断 多重共线性 农民工 福利 筛选 调查问卷 统计资料 相结合 获得 结构方程模型 农民工 福利 实证分析 结果显示 保障 状况 农民工福利 尤为 医疗 教育 安全 项 保障 农民工福利 密切相关 政府 制定 政策制度 提供 参考 改善 农民工福利 缓解 社会 矛盾 ,184
38,38,38,39,中国劳动力市场所有制分割的根源与表现;,马草原; 马文涛; 李成,  西安交通大学经济与金融学院,管理世界;,2017-11-15,1,438,"关键词：劳动力市场;
所有制分割;
所有权虚置;
国有企业;","基于中国特殊的经济制度环境,从理论和实证两个方面廓清了中国劳动力市场所有制分割的三大特征:工资差异、流动障碍及代际传承,揭示了其根源和形成机制。研究认为,劳动力市场的所有制分割根植于国有企业的所有权虚置。虚化的剩余索取权使国有企业经理人的剩余控制权不能得到有效的外部约束,形成迥异于私有企业的特殊工资方程与畸高人力资本回报。同时,内生于国有企业特殊产权属性的""编制""制度阻碍了劳动力优化机制对优胜劣汰这一市场根本准则的执行,使劳动力资源无法在部门之间自由配置。此外,职位稀缺和人力资本的""不可测""在所有权虚置条件下激励了经理人的寻租行为,父辈的就业性质成为决定子女能否获得国有企业""进入许可""的关键,导致了劳动力市场分割的代际传承。",基金：国家社科基金青年项目:行业垄断收入分配效应的成因、测度与治理体系研究(项目批准号:13CJY020)的阶段性成果；,分类号：F249.2,20,22-34+187,马草原,,m,"中国劳动力市场所有制分割的根源与表现;;关键词：劳动力市场;
所有制分割;
所有权虚置;
国有企业;基于中国特殊的经济制度环境,从理论和实证两个方面廓清了中国劳动力市场所有制分割的三大特征:工资差异、流动障碍及代际传承,揭示了其根源和形成机制。研究认为,劳动力市场的所有制分割根植于国有企业的所有权虚置。虚化的剩余索取权使国有企业经理人的剩余控制权不能得到有效的外部约束,形成迥异于私有企业的特殊工资方程与畸高人力资本回报。同时,内生于国有企业特殊产权属性的""编制""制度阻碍了劳动力优化机制对优胜劣汰这一市场根本准则的执行,使劳动力资源无法在部门之间自由配置。此外,职位稀缺和人力资本的""不可测""在所有权虚置条件下激励了经理人的寻租行为,父辈的就业性质成为决定子女能否获得国有企业""进入许可""的关键,导致了劳动力市场分割的代际传承。",劳动力市场 所有制分割 根源 关键词 劳动力市场 所有制分割 所有权虚置 国有企业 特殊 经济 制度环境 实证 两个 廓清 劳动力市场 所有制分割 三大 特征 工资差异 流动 障碍 代际传承 揭示 根源 形成机制 认为 劳动力市场 所有制分割 根植 国有企业 所有权虚置 虚化 剩余索取权 使 国有企业 经理人 剩余控制权 不能 外部约束 迥异 私有企业 特殊 工资 方程 畸高 人力资本 回报 内 生于 国有企业 特殊 产权 属性 编制 制度阻碍 劳动力 优化 机制 优胜劣汰 这一 市场 根本 准则 执行 使 劳动力 资源 无法 自由 配置 职位 稀缺 人力资本 不可 测在 所有权虚置 激励 经理人 寻租 父辈 就业 性质 决定 子女 能否 获得 国有企业 进入 许可 关键 劳动力 市场分割 代际传承 ,355
39,39,39,40,习近平经济思想与中国特色社会主义政治经济学构建;,王东京,  中共中央党校,管理世界;,2017-11-15,0,523,"关键词：十九大报告;
习近平经济思想;
政治经济学;","党的十九大报告全面阐释了习近平新时代中国特色社会主义思想和基本方略,也集中体现了习近平总书记的经济思想。对如何运用习近平经济思想指导中国特色社会主义政治经济学构建,作者提出要以习近平""坚持以人民为中心""的思想为主线;以五大新发展理念为理论框架。同时作者认为,习近平关于处理政府与市场关系的思想为中国特色社会主义政治经济学研究资源配置提供了基本范式;关于""供给侧结构性改革""的思想为研究经济持续健康发展提供了中国方案。",,分类号：F0-0;F092.7,9,1-9,王东京,,w,"习近平经济思想与中国特色社会主义政治经济学构建;;关键词：十九大报告;
习近平经济思想;
政治经济学;党的十九大报告全面阐释了习近平新时代中国特色社会主义思想和基本方略,也集中体现了习近平总书记的经济思想。对如何运用习近平经济思想指导中国特色社会主义政治经济学构建,作者提出要以习近平""坚持以人民为中心""的思想为主线;以五大新发展理念为理论框架。同时作者认为,习近平关于处理政府与市场关系的思想为中国特色社会主义政治经济学研究资源配置提供了基本范式;关于""供给侧结构性改革""的思想为研究经济持续健康发展提供了中国方案。",习近平 经济思想 中国特色 政治经济学 关键词 十九大报告 习近平 经济思想 政治经济学 党 十九大报告 全面 阐释 习近平 新 时代 中国特色 社会主义思想 基本 方略 集中体现 习近平 总书记 经济思想 习近平 经济思想 指导 中国特色 政治经济学 作者 习近平 坚持 中心 思想 为主 线以 五大 新 发展 理念 理论框架 作者 认为 习近平 处理 政府与市场 思想 中国特色 政治经济学 资源配置 提供 基本 范式 供给侧结构性 改革 思想 经济 持续 健康 发展 提供 中国方案 ,245
40,40,40,41,农业机械化的空间溢出效应及其分布规律——农机跨区服务的视角;,方师乐; 卫龙宝; 伍骏骞,  浙江大学中国农村发展研究院  浙江大学广东省农业科学院农业经济与农村发展研究所  西南财经大学中国西部经济研究中心,管理世界;,2017-11-15,0,726,"关键词：空间溢出效应;
农业机械跨区服务;
谷物产量;
农业分工;
时空范围;","农机跨区服务实现了区域间技术外溢和农业内部分工。本文基于2001~2014年省级面板数据,运用空间Durbin模型研究农机化水平对谷物产量的空间溢出效应,得出的主要结论有:第一,农机的跨区服务导致农机化水平对谷物产量有空间溢出效应,即其他区域的农机化水平对本区域谷物产量有显著的正向影响;第二,从空间范围来看,农机化水平的空间溢出效应辐射面广,经济距离半天之内的地区空间溢出效应占比为68.3%,一天之内的地区占比为85.4%;第三,从空间分布来看,农机化水平的空间溢出效应发生在纬度不同的区域之间,而在纬度相近的区域之间并不显著,这契合了中国农机跨纬度作业的实际情况;第四,从时间范围来看,2001~2014年,农机化水平的空间溢出效应呈现出逐年递增的趋势,其中2011~2014年空间溢出效应是2001~2005年的4.6倍,这契合了我国农机跨区服务规模逐年上升的发展趋势。","基金：国家社会科学基金重点项目“中国特色农业现代化道路研究”(编号:07AJY09)；
国家自然科学基金青年项目“空间计量经济学视角下产业集群对农村减贫作用的研究”(编号:71503212)；
国家自然科学基金面上项目“劳动力成本上升对农业生产的影响机理与实证研究”(编号:71473100)；
浙江省哲学社会科学规划项目“农产品目标价格制度路径选择及风险管理”(编号:17NDJC110YB)的资助；",分类号：F323.3,20,65-78+187-188,方师乐,1.0,f,"农业机械化的空间溢出效应及其分布规律——农机跨区服务的视角;;关键词：空间溢出效应;
农业机械跨区服务;
谷物产量;
农业分工;
时空范围;农机跨区服务实现了区域间技术外溢和农业内部分工。本文基于2001~2014年省级面板数据,运用空间Durbin模型研究农机化水平对谷物产量的空间溢出效应,得出的主要结论有:第一,农机的跨区服务导致农机化水平对谷物产量有空间溢出效应,即其他区域的农机化水平对本区域谷物产量有显著的正向影响;第二,从空间范围来看,农机化水平的空间溢出效应辐射面广,经济距离半天之内的地区空间溢出效应占比为68.3%,一天之内的地区占比为85.4%;第三,从空间分布来看,农机化水平的空间溢出效应发生在纬度不同的区域之间,而在纬度相近的区域之间并不显著,这契合了中国农机跨纬度作业的实际情况;第四,从时间范围来看,2001~2014年,农机化水平的空间溢出效应呈现出逐年递增的趋势,其中2011~2014年空间溢出效应是2001~2005年的4.6倍,这契合了我国农机跨区服务规模逐年上升的发展趋势。",农业机械化 空间溢出效应 分布 规律 农机 跨区 服务 关键词 空间溢出效应 农业机械 跨区 服务 谷物 产量 农业 分工 时空 范围 农机 跨区 服务 区域间 技术外溢 农业 内部 分工 省级 空间 农机化 谷物 产量 空间溢出效应 得出 结论 第一 农机 跨区 服务 农机化 谷物 产量 空间溢出效应 区域 农机化 对本 区域 谷物 产量 正向 第二 空间 范围 来看 农机化 空间溢出效应 辐射面 广 经济 距离 半天 之内 地区 空间溢出效应 占 一天 之内 地区 占 第三 空间 分布 来看 农机化 空间溢出效应 纬度 区域 纬度 相近 区域 契合 农机 跨 纬度 作业 第四 时间 范围 来看 农机化 空间溢出效应 呈现出 逐年 递增 趋势 空间溢出效应 倍 契合 农机 跨区 服务 规模 逐年 上升 发展趋势 ,362
41,41,41,42,生产制造还是资本投资?中国工业企业国际创业资本的流向——基于制度距离的解释;,葛菲; 贺小刚,  上海师范大学旅游学院  上海财经大学国际工商管理学院,管理世界;,2017-11-15,0,562,"关键词：制度距离;
国际创业;
生产制造;
资本投资;","生产制造和资本投资是国民经济两大关键部门,近几年国内企业资本表现出强烈的资本投资偏好,其国际创业资本流向如何,是坚守生产制造的本位还是选择资本投资领域?资本流向的受制因素又是什么?这些问题没有得到很好的解决。很多研究指出,中国生产型企业""走出去""主要是为了销售国内生产的货物,本文则尝试突破销售领域的边界,探索在其掩盖下所隐藏的国际创业资本流向偏好。通过对沪深两市A股工业企业数据进行分析,本文主要得到以下结论:(1)随着制度距离顺差的增加,工业企业的国际创业资本倾向于流入资本投资领域,而制度逆差的国家不具备良好的制度保护和健全的资本市场,以至于进行资本投资的动机并不强烈;(2)在企业所有制性质的调节下,相比国有企业,民营企业随着制度顺差增加会有着更加强烈的资本投资倾向;(3)在冗余资源的鼓励下,相比国有企业,制度顺差是一种动力,促使民营企业对于资本投资领域有着更弱的偏好。","基金：国家自然科学基金项目(71372037、71672105)；
上海财经大学创新团队支持计划(2016110394)的阶段性成果；",分类号：F425,20,112-124+157,葛菲,1.0,g,"生产制造还是资本投资?中国工业企业国际创业资本的流向——基于制度距离的解释;;关键词：制度距离;
国际创业;
生产制造;
资本投资;生产制造和资本投资是国民经济两大关键部门,近几年国内企业资本表现出强烈的资本投资偏好,其国际创业资本流向如何,是坚守生产制造的本位还是选择资本投资领域?资本流向的受制因素又是什么?这些问题没有得到很好的解决。很多研究指出,中国生产型企业""走出去""主要是为了销售国内生产的货物,本文则尝试突破销售领域的边界,探索在其掩盖下所隐藏的国际创业资本流向偏好。通过对沪深两市A股工业企业数据进行分析,本文主要得到以下结论:(1)随着制度距离顺差的增加,工业企业的国际创业资本倾向于流入资本投资领域,而制度逆差的国家不具备良好的制度保护和健全的资本市场,以至于进行资本投资的动机并不强烈;(2)在企业所有制性质的调节下,相比国有企业,民营企业随着制度顺差增加会有着更加强烈的资本投资倾向;(3)在冗余资源的鼓励下,相比国有企业,制度顺差是一种动力,促使民营企业对于资本投资领域有着更弱的偏好。",生产制造 资本投资 工业企业 国际 创业资本 流向 制度距离 解释 关键词 制度距离 国际创业 生产制造 资本投资 生产制造 资本投资 国民经济 两大 关键 近几年 国内 企业 资本 强烈 资本投资 偏好 国际 创业资本 流向 坚守 生产制造 本位 选择 资本投资 资本 流向 受制 没有 很 好 解决 很多 指出 生产型 企业 走出去 销售 国内 生产 货物 尝试 突破 销售 边界 探索 掩盖 隐藏 国际 创业资本 流向 偏好 沪 深 两市 股 工业企业 以下 结论 制度距离 顺差 工业企业 国际 创业资本 倾向 流入 资本投资 制度 逆差 国家 具备 良好 制度 保护 健全 资本市场 资本投资 动机 强烈 企业 所有制性质 调节 相比 国有企业 民营企业 制度 顺差 有着 更加 强烈 资本投资 倾向 冗余 资源 鼓励 相比 国有企业 制度 顺差 动力 促使 民营企业 资本投资 有着 更弱 偏好 ,404
