index,cut_out
10,数字技术 革命 背景 零售业 商业模式创新 关键词 零售企业 商业模式创新 数字技术 物美 集团 苏宁 云商 零售企业 扎根 上述 零售企业 商业模式创新 基本特征 环境变化 零售业 技术 变革 零售 商业模式创新 结构 揭示 企业 商业模式创新 呈现出 零售 服务体验 化 增值 化 零售 渠道 无 边界 化 无 间隙 化 零售 透明化 社会化 趋势 
11,管理 世界 杂志社 编辑部 副 主任 公开选拔 公告 管理 世界 杂志社 国务院发展研究中心 直属 正局级 事业单位 管理 世界 杂志 国家 新闻出版 广电总局 认定 学术期刊 百强 社科 期刊 国家自然科学基金委员会 认定 学术期刊 全国 哲学 社会科学 规划 办公室 认定 国家 社会科学 基金 重点 资助 期刊 三大 社科 期刊 评价 评价 多年 位居 管理 类 学术期刊 首位 中国社会科学院 期刊 评价 被誉为 管理学 唯一 顶级 期刊 杂志社 建设 吸引 高素质 专业人才 国务院发展研究中心 批准 社委会 决定 现 公开选拔 编辑部 副 主任 
12,环保督察 地方政府 履责 博弈分析 关键词 环保督察 地方政府 演化博弈模型 博弈分析 演化博弈模型 环保督察 地方政府 履责 相互作用 环保督察 机构 地方政府 动态演化博弈 寻求 相对 稳定 均衡点 处于 终局 均衡点 地方政府 履责 环保督察 保持 何种 强度 取决于 地方政府 履责 边际 成本 惩罚 效应 环保督察 边际 成本 督察 机构 激励效应 问责 激励 相 双方 边际 成本 易于控制 督察 效果 关键 单方面 环保督察 强度 督察 激励 地方政府 履责 并非 必然 关联 综合 权衡 问责 激励 策略 地方政府 履责 边际 成本 地方政府 履责 治本 之策 
13,邻里关系 农村 留守老人 身心健康 劳动力 流出地 省市 调查数据 实证分析 关键词 社交活动 健康 留守老人 倾向得分匹配 劳动力 流出地 省市 有序 邻里关系 农村 留守老人 身心健康 社交活动 留守老人 主观 身心健康 直接 促进作用 良好 邻里关系 邻里 经常 留守老人 提供 生活 照料 主观 健康 促进作用 社交活动 邻里关系 邻里 照料 间接 留守老人 主观 健康 
14,房价 股价 货币政策 资产价格 反应 模拟分析 关键词 资产价格 货币 政策反应函数 模拟分析 动态 相关系数 刻画 房价 股价 代表性 资产价格波动 实际产出 通胀率 动态 股价 房价 产出 通胀率 央行 资产价格 做出 反应 货币政策 产出 通胀率 波动 资产价格 做出 反应 货币政策 更大 损失 相对 股价 房价波动 产出 通胀率 更大 相对 严格 通胀 目标 制 混合 通胀 盯住 制 有利于 产出 通胀 波动 适合 国情 
15,经济发展 技术创新 技术溢出 行业收入差距 演变 对型 假说 理论解释 实证检验 关键词 行业收入差距 技术差距 技术进步 技术溢出 技术差距 行业收入差距 经济发展 纳入 统一 分析框架 用于 解释 刻画 经济发展 行业 收入差距 变动 规律 行业 技术差距 行业 收入差距 可分解 正向 直接效应 负向 间接效应 两种 效应 综合 取决于 行业 替代弹性 经济发展 中受 技术创新 技术溢出 行业 技术差距 经历 先 增大 缩小 倒 变化 受 技术水平 制约 行业 工资差距 服从 先 扩大 缩小 倒 先 缩小 扩大 正型 演化路径 个省 自治区 直辖市 得出 两个 假说 推论 分别 检验 实证检验 结果显示 现阶段 行业 技术差距 行业收入差距 负而 假说 相应 证实 
16,土地 承包 经营权 流转 劳动力流动 农业生产 关键词 土地 承包 经营权 流转 劳动力流动 农业生产 扭曲效应 农户 就业 决策 数理 引入 家庭 农业生产 非农 生产 比较优势 概念 土地 承包 经营权 流转 成本增加 扭曲 家庭 劳动力 务农 外出务工 配置 上海财经大学 年千村 调查 农村劳动力 城乡 转移 状态 控制 土地 承包 经营权 流转 成本 内生性 之后 土地 承包 经营权 流转 成本增加 带来 以下几点 负面影响 不利于 农村 劳动力流动 女性劳动力 外出务工 可能性 农业 生产效率 具体表现 农业生产 劳动力 结构 呈现 女性化 老龄化 趋势 家庭 土地 资源 得不到 农业 劳动力 人均 耕地 使用量 下降 最终 家庭 农业 人均 产出 
17,中国女企业家 发展 现状 期望 位女 企业家 问卷调查 报告 关键词 中国女企业家 现状 政策建议 中国女企业家 协会 中国企业家 调查 卓越 企业家 成长 基金 联合 课题组 共同完成 首次 全国 范围 大规模 女 企业家 问卷调查 报告 共 回收 问卷 份 覆盖 个省 自治区 直辖市 行业 报告 以女 企业家 队伍 现状 行为特征 领导 风格 内容 探索 女 企业家 成长 规律 困难 挑战 了解 发展 外部 环境 中国女企业家 队伍 健康成长 环境 优化 政策建议 
18,营改增 企业利润率 企业创新 关键词 营改增 利润率 创新 选取 研发 技术 服务业 信息技术 服务业 两类 行业 家 上市公司 双重差分模型 营改增 政策 企业利润率 企业创新 长期 来看 营改增 政策 能够 企业利润率 规模 越大 企业 政策 效果 营改增 企业 研发 效果 规模 越大 企业 研发 力度 小企业 以往 利润 积累 研发投入 抑制作用 
19,社会责任 信息披露 掩饰效应 上市公司 崩盘风险 来自 中国股票市场 关键词 企业社会责任 崩盘风险 强制披露 掩饰效应 代理问题 坏消息 隐匿 积累 引致 崩盘风险 社会责任 信息披露 个股 股价崩盘风险 监管 当局 强制 要求 上市公司 披露 社会责任 信息 试图 减少 信息不对称 有助于 崩盘风险 双重差分 倾向评分匹配 强制披露 政策 增大 崩盘风险 这一 金融异象 社会责任 掩饰效应 假说 经理人 代理成本 足够 大 社会责任 信息披露 企业 用来 掩盖 粉饰 企业 运营 经理人 道德风险 社会责任 信息披露 股东 经理人 利益 相对 一致 经理人 监督机制 相对 健全 财务信息 足够 透明 社会责任 信息披露 股价崩盘风险 正向 不再 
20,家庭 金融学 进展 关键词 家庭金融 投资决策 借贷决策 学科发展 着重 现代 金融学 演化 结合 金融体系结构 变化 家庭 金融学 进展 创立 背景 意义 剖析 金融学 学科 体系 位置 探讨 未来 重点 方向 论述 家庭 投资 融资决策 研究所 取得 进展 实践 意义 
21,创新集群 知识网络 环境系统 构成 实证分析 关键词 创新集群 知识网络 环境系统 运行 国内外 创新集群 知识网络 运行 环境系统 构成 环境要素 集群 知识创新 宝鸡 钛 谷 例 环境要素 相互影响 实证研究 期望 能为 创新集群 知识网络 环境系统 运行 提供 支撑 
22,对外贸易增长 隐含碳排放 脱钩 关键词 对外贸易增长 隐含碳排放 脱钩 借鉴 脱钩 对外贸易增长 隐含碳排放 脱钩 对外贸易 进出口 隐含碳排放 对外贸易增长 隐含碳排放 脱钩 实证 政策建议 
23,政治激励 资本监管 地方 银行 信贷投放 关键词 政治激励 金融监管 资本监管 信贷投放 金融监管 制度 执行 依赖于 监管者 激励 设计 地方官员 类似 监管 官员 职位 升迁 往往 上级 选拔 决定 政治激励 代表 中央 金融监管 省级 银监局 局长 代表 地方 银行 城商行 特征 匹配 监管 官员 政治激励 是否 监管 城商行 信贷投放 实证分析 资本 资产质量 流动性 监管 资本监管 绩效 银监局 局长 升迁 银监局 局长 政治激励 监管 促使 城商行 资本充足率 信贷投放 地方政府 信贷 干预 经济周期 货币政策 资本市场 融资 外部环境 银监局 局长 监管 差异化 效应 
24,地方 政府绩效考核 主体 群 界定 分工 探析 关键词 政府绩效考核 考核主体 分工 权重 地方 政府绩效考核 现状 此基础 地方 政府绩效考核 主体 划分 考核 组织 落实 群体 信息 来源 主体 主体 地方 政府绩效考核 改革 思路 详细 论述 地方 政府绩效考核 主体 考核 权力分配 分散 权力 大头 向下 注重 分工 强调 专业 设置 红线 触线 否决 地方 政府绩效考核 改革 建议 
25,自媒体 时代 公共管理 挑战 机遇 政府信任 关键词 自媒体 政府信任 公共管理 自媒体 传播 快速 发展 不断扩大 自媒体 发展 传统 政府信任 结构 冲击 公共管理 自媒体 改变 政府信任 建构 方式 宏观 冲击 公共管理 信任 具体 公共事务 管理 自媒体 扩大 民众 信息获取 传播 渠道 使 民众 政府 信任 可能性 加大 政府 微观 事务处理 难以 游刃 自如 应该 顺应 自媒体 发展 新 改变 政府信任 传统 建构 模式 公共 管理方法 注重 发掘 自媒体 积极意义 使 自媒体 政府信任 公共管理 有利 
26,京津冀 流动 人口调控联动 机制 关键词 京津冀 人口调控联动 疏解 容纳 预测 北京 疏解 人口数量 天津 河北 经济发展 额外 容纳 人口数量 对比 天津 经济发展 容纳 流动人口 潜力 巨大 河北 经济发展 预期 河北 人口 容纳 能力 强化 京津冀 人口 联动 天津 河北 经济发展 人力资本 需求 北京 常住人口 控制 万 以内 目标 
27,个人所得税 减免 劳动供给 来自 准 自然实验 证据 关键词 个人所得税 改革 劳动供给 双重差分法 固定效应模型 中华人民共和国国务院 令 第号 年月日 个人所得税 起征点 减少 税收 层级 重点 评估 法令 个体 劳动供给 决策 探讨 调减 收入分配 差距 家庭金融调查 双重差分法 固定效应模型 借鉴 断点回归 法 思路 此次 所得税改革 以下 简称 税改 个体 劳动参与率 劳动力 工作 长 没有 特别 地税 改对 中高 收入 阶层 劳动 激励 高于 低收入 群体 本次 所得税 减免 有助于 总体 劳动供给 不利于 居民收入差距 减小 
28,家庭金融 投资组合 风险 过于 保守 过于 冒进 关键词 家庭 金融资产配置 投资组合风险 家庭金融调查 重点 家庭金融 投资组合 风险 欧美国家 相比 家庭金融 投资组合 风险 分布 呈型 保守 家庭 冒进 家庭 都 股票投资 极端化 家庭 金融资产 投资组合风险 两极化 直接原因 家庭 总 资产规模 户主 年龄 教育水平 金融知识 风险态度 风险 承受能力 家庭 异质性 特征 尚 不能 解释 现象 金融市场 产品 供给结构 投资 门槛 限制 可能 原因 
29,坚持 新 发展 理念 现代化 经济 体系 建设 学习 习近平 新 时代 中国特色 社会主义思想 新 发展 理念 体会 关键词 新 发展 理念 现代化 经济 体系 产业 体系 经济体制 供给侧结构性 改革 习近平 新 时代 中国特色 社会主义思想 新 发展 理念 思想 方略 发展 认识 新 科学 高度 贯彻 新 发展 理念 在于 现代化 产业 体系 现代化 经济体制 两 中国特色 现代化 经济 体系 
30,企业家 宏观形势 企业经营状况 判断 建议 企业经营者 问卷 跟踪调查 报告 关键词 宏观形势 企业经营状况 成本上升 问卷调查 政策建议 位 企业家 参与 企业经营者 问卷 跟踪调查 报告 内容 调查 显示 多数 企业家 认为 宏观经济环境 处于 过去 常见 冷 热 状态 企业 景气 明显 回升 未来 市场需求 稳中有升 价格 保持 上涨 态势 用工 需求 温和 上升 投资 信心 有所 增强 企业 经营 前景 整体 较为 乐观 企业家 认为 企业 发展 挑战 行业 产能过剩 现象 依然 十分 严重 设备利用率 仍 处于 低位 企业 市场竞争 压力 仍然 较大 企业 成本 依然 十分 突出 长期以来 人工 成本上升 社保 税费 负担过重 压力 尚未 缓解 原材料 成本 环保 支出 中小企业融资 难 融资 贵 依然 突出 融资成本 居高不下 企业家 期待 政府 珍惜 宏观 微观经济 环境 改善 良好 局面 加大 供给侧结构性 改革 力度 坚决 防范 潜在 经济风险 更加 注重 简政放权 措施 成效 希望 减税 举措 实实在在 企业 成本 积极 稳妥 产业政策 更深 调整 经济结构 经济发展方式 根本 转变 
31,社会信任 是否 企业 并购绩效 关键词 并购绩效 社会信任 法律制度 信息不对称 企业并购 事件 研究对象 交易成本 检验 上市公司 所在 地区 非正式制度 社会信任 并购 交易 主体 价值创造 能力 实证研究 主并公司 所在 地区 社会信任 越高越 有助于 并购 交易 主体 信任 互惠 机会主义 免费搭车 督促 交易 双方 诚实 守信 合作行为 减少 不确定性 最终 并购 合作行为 并购 价值创造 能力 民营企业 地区 法律 地区 更为 并购绩效 法律制度 社会信任 替代关系 地区 社会信任 减少 主并 企业 选聘 市场 中介机构 交易成本 揭示 非正式制度 帮助 主并公司 地区 信任 信息不对称 交易成本 创造 并购 价值 可行性 重要性 结论 理解 转轨经济 阶段 资本市场 并购行为 提供 新 丰富 非正式制度 
32,政府 营销 地方 创业 活动 武汉市 政府创业营销 案例研究 关键词 政府创业营销 意义建构 意义赋予 创业意向 进入 新常态 创新创业 正在 经济发展 引擎 社会 大众 创业 积极性 各级 政府 工作 引发 政府创业营销 实践 武汉市 案例研究 对象 探索 政府创业营销 实践 深入研究 政府创业营销 实质 政府 创业 意义建构 关键在于 营销 主体 政府部门 目标群体 利益 主体 意义赋予 互动 彼此之间 双向 意义赋予 互动 主体 创业 统一 认知 理解 集体性 创业 出现 揭示 政府 营销 规律 未来 政府 营销 实践 提供 价值 指导 
33,信息经济学 乌家 培奖 简介 信息经济学 成立 月 国家 民政部 登记注册 国家 学术研究 团体 学会 致力 信息 经济 信息管理 搭建 跨学科 理论创新 桥梁 跨学科 发展 学会 创始人 乌家培 教授 著名 经济学家 数量 经济学 信息经济学 创始人 信息 经济 信息 符理 年青 学者 世界 未来 理论发展 创新 成果 信息经济学 会于 设立 信息经济学 乌家 培奖 表彰 信息 经济 信 
34,信息经济学 乌家 培奖 评选 公告 评奖 对象 获奖 年龄 不超 周岁 国籍 不限 时间 国内外 学术期刊 公开 发表 信息 经济 信息管理 论文 论文 成果 学术 创新性 影响力 奖励 金额 万元 人民币 获奖 证书 奖励 人数 名年 获奖者 博士生 团队 持续 资助 机制 获奖者 指导 博士生 团队 获奖 第二年 自然 获 信息经济学 乌家培 优秀 博士生 奖 奖励 金额 万元 人民币 获奖 证书 后续 资助 视 第一次 资助 学术 创新 成效 而定 
35,中国式 压力 财政激励 财源 增长效应 取消 农业税 改革 实证研究 关键词 财政压力 工业增长 环境污染 经济社会 转型期 地方政府 压力型体制 复杂 多样 压力 来源 积极 汲取 财政收入 地方政府 应对 压力 途经 典型 中国式 压力 财政激励 取消 农业税 改革 地方政府 财政压力 变化 准 自然实验 强度 双重差分法 实证检验 财政压力 变化 财源 增长效应 同一 地区 内 取消 农业税 改革 财政压力 更大 县 第二产业 尤其 工业产值 快 增长 并未 出现 同一 地区 农业税 占 大 县 说明 地方政府 财源 建设 来自 财政压力 激励 非 税收结构 变化 激励 财政压力 工业 增长效应 工业 基础薄弱 财政自给率 地区 放松 环境规制 地方政府 工业 增长效应 手段 
36,经济学研究 数学滥用 现象 反思 关键词 经济学数学 数学滥用 因果关系 美国 经济 评论 发表 罗默 一篇 批判性 经济增长理论 数学滥用 国际 掀起 经济学研究 数学滥用 现象 广泛 争议 回顾 这场 争议 经济学研究 引入 数学 历史 积极 数学滥用 数学滥用 负面影响 剖析 这一 现象 阐述 引发 经济学研究 教学 未来 发展 反思 数学滥用 经济学研究 值得反思 数学滥用 阻碍 经济学 思想 创新 学术期刊 同行评议 强化 数学滥用 数学滥用 还会 教学活动 代际影响 经济学界 曾 开展 三轮 广泛 讨论 主动 纠正 数学滥用 达到 中国经济 学科 双 一流 建设 目标 经济学研究 教学 注重 经济 直觉 培养 明确 创新 中国经济 坚持 因果关系 辨识 坚持 使用 数学 简单 适用 严谨 
37,可行能力 农民工福利 制度 改进 关键词 农民工福利 可行能力 多重共线性 马蒂亚 森 可行能力 判断 多重共线性 农民工 福利 筛选 调查问卷 统计资料 相结合 获得 结构方程模型 农民工 福利 实证分析 结果显示 保障 状况 农民工福利 尤为 医疗 教育 安全 项 保障 农民工福利 密切相关 政府 制定 政策制度 提供 参考 改善 农民工福利 缓解 社会 矛盾 
38,劳动力市场 所有制分割 根源 关键词 劳动力市场 所有制分割 所有权虚置 国有企业 特殊 经济 制度环境 实证 两个 廓清 劳动力市场 所有制分割 三大 特征 工资差异 流动 障碍 代际传承 揭示 根源 形成机制 认为 劳动力市场 所有制分割 根植 国有企业 所有权虚置 虚化 剩余索取权 使 国有企业 经理人 剩余控制权 不能 外部约束 迥异 私有企业 特殊 工资 方程 畸高 人力资本 回报 内 生于 国有企业 特殊 产权 属性 编制 制度阻碍 劳动力 优化 机制 优胜劣汰 这一 市场 根本 准则 执行 使 劳动力 资源 无法 自由 配置 职位 稀缺 人力资本 不可 测在 所有权虚置 激励 经理人 寻租 父辈 就业 性质 决定 子女 能否 获得 国有企业 进入 许可 关键 劳动力 市场分割 代际传承 
39,习近平 经济思想 中国特色 政治经济学 关键词 十九大报告 习近平 经济思想 政治经济学 党 十九大报告 全面 阐释 习近平 新 时代 中国特色 社会主义思想 基本 方略 集中体现 习近平 总书记 经济思想 习近平 经济思想 指导 中国特色 政治经济学 作者 习近平 坚持 中心 思想 为主 线以 五大 新 发展 理念 理论框架 作者 认为 习近平 处理 政府与市场 思想 中国特色 政治经济学 资源配置 提供 基本 范式 供给侧结构性 改革 思想 经济 持续 健康 发展 提供 中国方案 
40,农业机械化 空间溢出效应 分布 规律 农机 跨区 服务 关键词 空间溢出效应 农业机械 跨区 服务 谷物 产量 农业 分工 时空 范围 农机 跨区 服务 区域间 技术外溢 农业 内部 分工 省级 空间 农机化 谷物 产量 空间溢出效应 得出 结论 第一 农机 跨区 服务 农机化 谷物 产量 空间溢出效应 区域 农机化 对本 区域 谷物 产量 正向 第二 空间 范围 来看 农机化 空间溢出效应 辐射面 广 经济 距离 半天 之内 地区 空间溢出效应 占 一天 之内 地区 占 第三 空间 分布 来看 农机化 空间溢出效应 纬度 区域 纬度 相近 区域 契合 农机 跨 纬度 作业 第四 时间 范围 来看 农机化 空间溢出效应 呈现出 逐年 递增 趋势 空间溢出效应 倍 契合 农机 跨区 服务 规模 逐年 上升 发展趋势 
41,生产制造 资本投资 工业企业 国际 创业资本 流向 制度距离 解释 关键词 制度距离 国际创业 生产制造 资本投资 生产制造 资本投资 国民经济 两大 关键 近几年 国内 企业 资本 强烈 资本投资 偏好 国际 创业资本 流向 坚守 生产制造 本位 选择 资本投资 资本 流向 受制 没有 很 好 解决 很多 指出 生产型 企业 走出去 销售 国内 生产 货物 尝试 突破 销售 边界 探索 掩盖 隐藏 国际 创业资本 流向 偏好 沪 深 两市 股 工业企业 以下 结论 制度距离 顺差 工业企业 国际 创业资本 倾向 流入 资本投资 制度 逆差 国家 具备 良好 制度 保护 健全 资本市场 资本投资 动机 强烈 企业 所有制性质 调节 相比 国有企业 民营企业 制度 顺差 有着 更加 强烈 资本投资 倾向 冗余 资源 鼓励 相比 国有企业 制度 顺差 动力 促使 民营企业 资本投资 有着 更弱 偏好 
42,自利 德行 商业 组织 制度逻辑 变革 关键词 社会脱嵌 自利主义 组织德行 制度逻辑 制度变革 近年来 商业 组织 社会脱嵌 越来越 受到 学者 学者 多个 角度 造成 这一 原因 反思 反思 大多 只 触及 商业 组织 局部性 实际上 商业 组织 令人 失望 社会 根植 自利主义 制度逻辑 之中 非 局部性 认为 解决 商业 组织 社会脱嵌 德行 制度逻辑 替代 自利主义 制度逻辑 可行 道路 回顾 哲学 积极 组织 行为学 积极 组织 学术 德行 探索 讨论 德行 制度逻辑 相比 自利主义 社会责任 制度逻辑 商业 组织 场域 优势 指出 德行 制度逻辑 替代 自利主义 制度逻辑 合理性 可能性 现有 德行 替代 自利主义 制度逻辑 变革 鲜有 讨论 现状 多层次 进程 制度逻辑 变革 变革 变革 变革 探索 
43,视觉 隐喻 广告 消费者 注意 再认 效果 关键词 视觉 隐喻 广告 产品卷入度 眼动实验 消费者 类型 广告 直述 广告 视觉 隐喻 广告 注意 效果 再认 效果 都 受到 产品卷入度 调节 产品卷入度 消费者 隐喻 广告 注视 时间 注视 次数 首次 注视 长 再认 效果 都 优于 直述 广告 产品卷入度 广告 类型 广告 注意 效果 再认 效果 无 
44,分析师 荐 股 更新 管理层语调 业绩说明会 文本分析 关键词 管理层语调 分析师行为 业绩说明会 文本分析 乐观性偏差 上市公司 年度 业绩说明会 互动 平台 文本 信息 管理层 净 正面 语调 分析师 更新 其荐 股 报告 可能性 更新 人数 比例 并会 分析师 荐 股 评级 变动 分析师 乐观性偏差 管理层 正面 语调 分析师 荐 股 评级 变动 负面 语调 没有 业绩说明会 年报 披露 间隔时间 语调 可靠性 分析师 管理层语调 更新 其荐 股 经验丰富 分析师 非 明星分析师 来自 小 券商 工作 更为 繁忙 分析师 相对 充分 可能 业绩说明会 语调 更新 其荐 股 业绩说明会 管理层语调 信息含量 分析师 对此 
45,本土管理研究 路径 探索 实践 关键词 本土管理研究 中国管理实践 实践 实践 研究路径 经历 多年 发展 西方 引入 大量 管理 之后 本土管理研究 应该 发展 学界 探讨 争论 热点 回应 学界 最近 讨论 认为 本土 管理 实践 重心 管理 能够 取得 突破性 进展 关键 学界 实现路径 疑惑 本土 管理 实践 深入研究 介绍 实践 本土管理研究 启示 透过 这一 中国管理实践 实现路径 探讨 中国管理实践 特殊性 亟须 中国管理实践 理论贡献 现实 指导 价值 展望 探讨 
46,交叉 效率 钢铁行业 能源效率 关键词 能源效率 交叉 效率 钢铁企业 投入产出法 钢铁企业 能源效率 排放 效率 结合 国内 钢铁企业 生产工艺 特点 交叉 效率 模型分析 呈现 企业 能源效率 评价 排序 充分 挖掘 揭示 钢铁企业 能源效率 钢铁企业 能源效率 改善 途径 政府部门 制定 钢铁行业 整体 宏观 节能减排 政策 提供 科学依据 
47,居民 阶梯 电价 政策 技术创新 诱导 效应 关键词 技术创新 居民 阶梯 电价 政策 能源价格 居民 阶梯 电价 政策 切入点 虚拟 双重差分 策略 反 事实 专利 数量 技术 重心 两个 层面 政策 技术创新 诱导 效应 电价 加价 技术 诱导 效应 关键 阶梯 电价 政策 专利 数量 技术 重心 政策 创新 程度较 实用新型 专利 诱导 效应 更加 明显 为此 能源价格 改革 有助于 技术创新 
48,规范 表达 公共服务需求 分析框架 政策意涵 关键词 公共服务需求 基本内涵 分析框架 布莱特 肖 需求 四分法 需求 矩阵 认为 规范 感知 政策性 需求 充分条件 需求 规范性 感知 才能 政策性 需求 获得 政府 回应 除此以外 所有 情形 都 不应 视为 政策性 需求 当然 表达 公共服务 仍然 意义 了解 感知 方式 修正 规范性 需求 重要依据 
